Complexity,Loss,Equation
1,0.012850762,"x26"
3,0.012684069,"x26 + 0.012897968"
5,0.011221863,"(x18 * -0.08558595) + x26"
6,0.011131393,"(sin(x18) * -0.09809663) + x26"
7,0.010733941,"x26 + ((x8 + x19) * -0.09189829)"
8,0.007170337,"sin(x26 + (0.008713732 / (x2 - 0.103124574)))"
10,0.006670408,"sin((x26 + (0.008713732 / (x2 - 0.103124574))) / 0.9172537)"
11,0.0046096887,"sin(x26 + ((exp(x8) - (1.0258317 / x2)) * -0.13150074))"
12,0.004032612,"sin(((x8 - (0.42519638 / x2)) * -0.30209753) + (-0.11458318 + x26))"
13,0.0037522234,"sin(((exp(x19) - (0.99566156 / x2)) * -0.13960679) + x26) * 1.0937026"
15,0.0028330074,"sin((((exp(x8) + x19) - (1.0373248 / x2)) * -0.127785) + x26) * 1.077377"
17,0.0027862631,"(sin((((x19 - (1.1126999 / x2)) + exp(x8)) * -0.1204699) + x26) * 1.0739101) + -0.012028483"
18,0.0026880796,"sin((((x8 - (0.6192232 / x2)) + (x19 / 1.8873099)) * -0.21690749) + (x26 + -0.13086183)) * 1.0659083"
19,0.002663167,"sin(((((x19 / exp(x8)) + x8) - (0.76333034 / x2)) * -0.17425391) + (-0.1394965 + x26)) * 1.0728737"
21,0.0023952092,"sin(x26 + (((x19 + x8) + ((x23 - (x2 - (exp(x15) / x2))) * -0.32397848)) * -0.3267984)) * 1.0532534"
23,0.0023927034,"x11 + (sin(((((x22 - (x2 - (exp(x15) / x2))) * -0.32152155) + (x19 + x8)) * -0.32777813) + x26) / 0.9326535)"
24,0.0022973584,"(sin((((x19 - ((x15 * 0.3500562) / x2)) + ((x8 + 0.3521945) - (0.6117868 / x2))) * -0.20606025) + x26) + -0.049532074) * 1.0998662"
25,0.0021839992,"sin(x26 + ((((x19 + x8) + ((x21 - (1.6269808 - (exp(x15) / x2))) * -0.29223818)) - (0.15774325 / x2)) * -0.29757375)) * 1.0685749"
30,0.002179621,"(sin(x26 + (((((x18 - (exp(x23 * -0.42146108) - (exp(x15) / x2))) * -0.24163684) + (x19 + x8)) - (0.18555881 / x2)) * -0.2831869)) - 0.049732875) * 1.0824885"
