Complexity,Loss,Equation
1,0.028292108,"x26"
3,0.02775065,"x26 * 0.9486558"
5,0.025465272,"x26 + (x17 * -0.11722349)"
6,0.022049403,"sin((0.053456314 / x2) + x26)"
8,0.015717862,"sin(((0.013183479 / x2) / x2) + x26)"
10,0.013692561,"sin((x26 + -0.19847582) + (0.1991964 / (x2 + x8)))"
11,0.01290621,"sin(x26 + ((exp(x17) + (-0.92765915 / x2)) * -0.14625832))"
12,0.012755589,"sin((x26 + (((-0.44977906 / x2) + x8) * -0.30120122)) + -0.13124044)"
13,0.012528145,"sin(((exp(x17) + (-0.92765915 / x2)) * -0.14625832) + x26) * 1.0380459"
14,0.011483054,"sin(x26 + (((((-0.9075931 / x2) + x8) + x17) * -0.15323119) - 0.15438023))"
15,0.010396925,"sin((((x8 + (-0.5262538 / x2)) * -0.35357288) / exp(x26)) + (x26 + -0.18553422))"
16,0.008646351,"sin((x26 + -0.18383954) + ((((-0.52968186 / x2) + x8) * -0.42312792) / (x26 + 1.2664484)))"
18,0.008403804,"sin((x26 + (((((-0.5761117 / x2) + x8) * -0.3956497) / (x26 + 1.2724754)) + -0.18387483)) / 0.94107634)"
19,0.0060920883,"sin(((((x8 + ((-0.7604723 / x2) + (x17 - x21))) / exp(x26)) * -0.23369655) + -0.18582514) + x26)"
20,0.0057942485,"sin(x26 + ((((-0.78946155 / x2) + (x8 + (x17 - x21))) * (-0.4354088 / (x26 + 1.7434934))) + -0.20518619))"
21,0.00560193,"sin(((((((x8 + x17) - x21) + (-0.8255813 / x2)) * -0.34955075) / (exp(x26) + 0.23725665)) + -0.23808187) + x26)"
23,0.0056017702,"sin(((((-0.82378626 / x2) + ((x8 + x17) + (x5 - x21))) * -0.3514863) / (exp(x26) + 0.24123529)) + (x26 + -0.23788138))"
25,0.005434869,"sin((x26 + -0.24316877) + ((((((-0.8349064 / x2) + x17) - x21) + x8) * -0.4216222) / exp((x26 + 0.39019957) - (x25 * 0.28478768))))"
