Complexity,Loss,Equation
1,0.015171809,"x26"
3,0.0149954455,"x26 + 0.013280728"
5,0.0135893,"x26 + (x17 * -0.077224255)"
6,0.01354512,"(sin(x18) * -0.088696525) + x26"
7,0.009971509,"sin(x26 + (log(x2) * -0.29426283))"
9,0.0048945863,"sin(x26 + (log(x8 + x2) * -0.39715207))"
11,0.0038598015,"sin(((x8 + log(x2 - 0.081838705)) * -0.2786828) + x26)"
15,0.0036106165,"sin((log((x8 + x2) - 0.07525103) * -0.3682719) + ((x26 * 1.2219441) / 1.2764794))"
16,0.0026537974,"cos(((x15 + (log(x2) - exp(x14 - x8))) / -2.2828794) + (x26 + -2.0112333))"
18,0.002003215,"cos((x26 + (((x15 - exp(x14 - x8)) + log(x2)) / -2.2356613)) + -2.0151143) * 1.0528488"
19,0.0017210043,"cos(x26 + (((log(x2) + (x15 - exp(x14 * 0.7633271))) / (exp(x8) / -0.48308158)) + -2.058611))"
21,0.0014757736,"cos(((((log(x2) + x15) - exp(x14 * 0.75570446)) / (exp(x8) / -0.47795013)) + -2.0505812) + x26) * 1.0315663"
23,0.0013617708,"cos((((log(x2) + x15) - exp(0.77120394 * x14)) / (exp(x8) / -0.49463)) + (-2.067932 + (0.9548403 * x26))) / 0.95089364"
24,0.001361683,"cos(((log(x2) + (x15 - exp(0.77120394 * x14))) / (exp(x8) / -0.49463)) + (-2.067932 + (0.9548403 * x26))) / cos(0.31254438)"
25,0.0010940573,"((x12 * 0.06368643) + 1.0360491) * cos((((log(x2) - exp(x14 * 0.7807288)) + x15) / (exp(x8) / -0.4822324)) + (x26 + -2.057101))"
27,0.00096742285,"cos((((x26 + -1.7977833) + ((x15 + (log(x2) - exp(x14))) / ((exp(x8) + (x26 * 0.37038344)) / -0.46354446))) * 1.192699) + (x12 * -0.10419551))"
29,0.00088164984,"cos(((x12 * 0.06292941) + 1.1376275) * (x26 + (-1.8766694 + (((x15 + log(x2)) - exp(x14)) / (((x26 * 0.29420355) + exp(x8)) / -0.4805655))))) / 0.9734487"
