Complexity,Loss,Equation
1,0.013927654,"x26"
3,0.013690748,"x26 + 0.015421345"
5,0.012486844,"x26 + (x18 * -0.089384064)"
6,0.012402836,"x26 + (sin(x18) * -0.10181074)"
7,0.007913004,"sin(x26 + (log(x2) * -0.32946718))"
9,0.0039532827,"sin((log(x8 + x2) * -0.43050522) + x26)"
11,0.0030548945,"sin(x26 + (log((x8 + x2) + -0.099599324) * -0.29723015))"
12,0.0028268623,"sin(((x8 + log(sqrt(x2 + -0.11083193))) * -0.33820072) + x26)"
13,0.002195788,"sin(x26 + ((x18 * -0.13120294) + ((x8 + log(x2)) * -0.40970346)))"
15,0.0017536177,"sin((((x2 * -0.14232476) * x18) + ((x8 + log(x2)) * -0.42540514)) + x26)"
17,0.0011379825,"sin(x26 + ((x17 * ((x2 - 0.7666013) * -0.50865155)) + (log(x2 + x8) * -0.52759916)))"
19,0.0010360949,"sin((log(x2 + x8) * -0.51483554) + (((x2 - 0.7553804) * (x19 * -0.5427569)) + x26)) * 1.030088"
20,0.0010133918,"sin((log(x2 + x8) * -0.51947856) + (x26 + (x19 * ((exp(x2) + -2.1837115) * -0.22185141)))) / 0.9708942"
24,0.00089180365,"(sin(((-0.16902986 * (exp(x2) + -1.9817028)) * x19) + (x26 + (log((x8 + x2) + -0.0876617) * -0.3581573))) + -0.029802602) / 0.95011437"
26,0.00084190164,"(-0.031516705 + sin(((((exp(x2) + -2.00466) * -0.16578364) * x19) + (x26 + (log((x8 + x2) + -0.08932443) * -0.3800474))) / 1.0384873)) * 1.0678276"
30,0.0008419003,"(sin(((x26 + (log((x2 + x8) + -0.08933472) * -0.38002172)) + ((x19 * -0.16576807) * (exp(x2) + -2.0045588))) / (x5 + (x6 + 1.0384847))) + -0.031519733) * 1.0678297"
