Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 + 0.012679044"
5,0.004158062,"(x17 * -0.08853725) + x26"
6,0.0040906356,"(sin(x17) * -0.100969315) + x26"
7,0.0033043125,"(x22 * -0.21763343) + (x26 * 1.1836901)"
8,0.0032364484,"(sin(x22) * -0.24405488) + (1.1839536 * x26)"
9,0.003049451,"sin(((x8 + log(x2)) * -0.30123302) + x26)"
10,0.0020884494,"x26 + (log(x18 + (x2 + x8)) * -0.120764956)"
11,0.0019513,"x26 + (log((x8 + x2) + sin(x18)) * -0.120764956)"
12,0.0019198977,"(log(((x2 + x8) + -0.09500757) + x19) * -0.09500757) + x26"
13,0.0013756023,"sin((((x20 + x8) + log(x2)) * -0.16852836) + x26) * 1.1238234"
15,0.0010281494,"sin(x26 + (((x8 + log(x2 - 0.11103453)) + x20) * -0.16174503)) * 1.1038386"
16,0.0009463121,"sin((((x8 + (log(x2) + x19)) + log(x2)) * -0.18548492) + x26) * 1.0703151"
17,0.000803627,"(sin(x26 + (((x19 + x8) + log(x2 - 0.10796103)) * -0.17050937)) + -0.020952221) * 1.1039711"
20,0.00064805185,"x26 + (((x19 + -1.0679432) + x2) * ((-0.79631186 * cos(x2)) * (cos(x2) * cos(x26 * -1.5590757))))"
21,0.0005853077,"((((cos(x2) * (sin(x19) + (x2 + -1.0477295))) * cos(x26 * -1.5560063)) * -0.8628864) * cos(x2)) + x26"
23,0.00055682287,"x26 + ((cos(x2) * (cos(x2) * (cos((-0.04448134 - x26) * -1.5052983) * -0.86996233))) * ((x2 + sin(x19)) + -1.046101))"
25,0.00051168737,"(1.0239315 * x26) + (cos((x26 - -0.08519172) * -1.4662136) * ((((sin(x19) + (x2 + -1.0660479)) * cos(x2)) * cos(x2)) * -0.8706193))"
26,0.00051011256,"x26 + ((cos(x2) * cos(x26 * -1.5512345)) * (cos(x2) * (((x2 + (x19 * (cos(x22) / cos(x26)))) + -1.0398779) * -0.8851728)))"
27,0.0004708036,"((x26 + ((sin(x19) + (x2 + -1.0754598)) * ((cos(x2) * -0.86969304) * (cos(x2) * cos((-0.1037658 - x26) * -1.4519192))))) * 1.0253735) + -0.007726687"
