Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679029"
5,0.004158062,"x26 - (x17 * 0.08853703)"
6,0.004090635,"x26 - (sin(x17) * 0.10098247)"
7,0.0033043125,"(x26 + (x22 * -0.183781)) * 1.1835959"
8,0.0032364484,"((sin(x22) * -0.20614864) + x26) * 1.1839731"
10,0.003232558,"(((sin(x22) * -0.20462668) + x26) * 1.1823272) + 0.002019891"
12,0.0031860187,"(x26 + (sin(x21 + (x8 * 0.20887189)) * -0.17050992)) * 1.1281642"
13,0.0025231733,"sin((((x2 * exp(x21)) * -0.3019992) + 0.3112087) - (x26 * -1.2311105))"
14,0.0016758906,"sin((0.5155078 - (x26 * -1.4498742)) + ((sqrt(x2) * -0.49228996) * exp(x23)))"
16,0.0014396352,"sin((((exp(x23) * sqrt(x2 + -0.11152429)) * -0.47397432) - (x26 * -1.4077013)) + 0.4699458)"
17,0.0013212432,"sin(((sqrt(log(x2 + 0.8903306)) * exp(x23)) * -0.59408164) + (0.49056667 - (-1.4355471 * x26)))"
19,0.001177676,"sin((((0.9439445 + log(sqrt(x2))) * exp(x23)) * -0.48888168) + (0.48210514 - (x26 * -1.3423022))) / 0.94270515"
21,0.0011586017,"sin((((log(sqrt(x2)) + 0.9861962) * (exp(x23) * -0.4677)) + 0.48156333) - ((x26 * -1.3631432) + x6)) * 1.0502354"
24,0.0010606272,"sin((exp(x23) * (sqrt(log(0.8903306 + x2)) * -0.59408164)) + (1.1545815 * (0.4320765 - (x26 * -1.2436824)))) / cos(x8 * 0.5222133)"
26,0.0010310496,"sin(((sqrt(log(0.8903306 + x2)) * -0.59408164) * exp(x23)) + (1.1545815 * (0.4320765 - (x26 * -1.2436824)))) / exp((x0 + -0.09139672) * x8)"
27,0.0010079083,"sin((1.1507622 * (0.4320765 - (-1.2436824 * x26))) + (exp(x23) * (-0.59408164 * sqrt(log(x2 + 0.8903306))))) / cos(sqrt(0.4320765 * x2) * x8)"
28,0.0009899935,"sin(((0.4320765 - (x26 * -1.2436824)) * 1.1507622) + ((exp(x23) * sqrt(log(x2 + 0.8903306))) * -0.59408164)) / cos((x8 * (0.5582083 - x25)) * 0.4320765)"
29,0.00098999,"sin((1.1507622 * (0.4320765 - (x26 * -1.2436824))) + ((exp(x23) * sqrt(log(x2 + 0.8903306))) * -0.59408164)) / cos(x8 * (log(1.2748883) - (x25 * 0.4320765)))"
30,0.0009897674,"sin(((0.4320765 - (x26 * -1.2436824)) * 1.1507622) + ((exp(x23) * sqrt(log(x2 + 0.8903306))) * -0.59408164)) / cos(((x8 * (0.5582083 - x25)) * 0.4320765) / 0.98685974)"
