Complexity,Loss,Equation
1,0.016470743,"x26"
3,0.016051715,"x26 + 0.020473154"
5,0.014199259,"(x17 * -0.097232565) + x26"
6,0.011973782,"sin(x26 - (-0.056578144 / x2))"
7,0.0106966905,"sin(x26 - (log(x2) / 3.2711906))"
8,0.007405742,"sin(x26 - (-0.013044551 / (x2 - 0.1006694)))"
10,0.0053869504,"sin((x26 - (-0.19269708 / (x2 + x8))) - 0.17683168)"
11,0.0047114333,"sin(x26 - ((-0.1281694 / x2) - (exp(x17) * -0.12699749)))"
12,0.0043289317,"sin(((x26 - (x8 * 0.31241977)) - (-0.12585428 / x2)) - 0.10442211)"
13,0.0033246574,"sin((x26 - (-0.13727659 / x2)) - (exp(x17) * 0.13375372)) * 1.0856539"
16,0.0024850755,"sin(x26 - (((x19 + x8) * 0.15889578) - ((0.1349152 / x2) - 0.13070312))) / 0.93022764"
18,0.0022690166,"sin((x26 - ((x19 + (x8 * 1.6269737)) * 0.12685625)) - ((-0.13887054 / x2) - -0.13117081)) / 0.9252149"
19,0.0020153027,"sin((x26 - (((x8 / exp(x24)) + x19) * 0.15025298)) - ((-0.14093815 / x2) - -0.13326675)) / 0.93643564"
21,0.0019020628,"sin(x26 - ((x19 * 0.16118334) + ((x8 / exp(x24 + 1.7461492)) - ((0.13340752 / x2) - 0.12848032)))) / 0.93875766"
23,0.0019017335,"sin(x26 - ((x8 / (exp(x24 + 1.6541467) * 1.0726572)) + ((x19 * 0.1604508) - ((0.13335472 / x2) - 0.1281184)))) / 0.9396574"
26,0.0018824566,"sin((x26 - (((x8 / (sqrt(x2) * exp((-0.14093815 / x2) + x24))) + x19) * 0.15025298)) - ((-0.14093815 / x2) - -0.13326675)) / 0.93643564"
