Complexity,Loss,Equation
1,0.01408567,"x26"
3,0.013752086,"x26 + 0.018274877"
5,0.012222564,"(x18 * -0.09684439) + x26"
6,0.0101598175,"sin(x26 + (0.05505892 / x2))"
8,0.005734628,"sin(x26 + (0.014597909 / (x2 + -0.098959185)))"
10,0.00543753,"sin((0.008326503 / (x2 + -0.105243206)) - (x26 * -1.028481))"
11,0.0034713356,"sin(((0.12700851 / x2) + x26) + (exp(x17) * -0.127663))"
12,0.003096899,"sin(((0.1253906 / x2) + (x26 + -0.10819293)) - (x8 * 0.30168393))"
13,0.0023621155,"sin(x26 + ((exp(x19) * -0.13880937) + (0.13914672 / x2))) * 1.0873396"
14,0.0023276948,"(sin((x26 + (-0.19534129 * x20)) + (0.108946785 / x2)) - 0.11504977) * 1.1773225"
15,0.0021099844,"sin((x26 + (exp(x19) * -0.17294239)) + ((0.1341747 / x2) - -0.04491042)) * 1.0973421"
18,0.0012076655,"(sin((x21 * -0.15550809) + (((0.13572416 / x2) + -0.12968136) + x26)) - (x8 * 0.16314188)) * 1.1098104"
19,0.0011813835,"(sin((x20 * -0.15170687) + ((x26 + (0.13395725 / x2)) + -0.13030496)) - (0.16967513 * sin(x8))) * 1.0994456"
21,0.001144733,"(sin(((0.1419297 / x2) + (x19 * -0.12625685)) + (-0.13764727 - (x26 * -0.94552016))) * 1.1142566) - (sin(x8) * 0.20814319)"
24,0.0010575204,"sin((((0.1365434 / x2) + (-0.13715537 - (x26 * -0.9786906))) + ((x19 - (x23 * x8)) * -0.15863217)) - (x8 * 0.212415)) * 1.0743401"
28,0.0010490092,"sin(((0.13657996 / x2) + ((-0.16018873 * (x19 - (x23 * (x8 - (-0.12163897 * x8))))) - (x8 * 0.2056071))) + (-0.13713475 - (x26 * -0.97888374))) * 1.0748035"
30,0.0010477606,"sin((((-0.13713472 - (x26 * -0.9788838)) + (0.13657996 / x2)) + ((x19 - (x23 * (x8 - ((x26 * 0.13772377) * x8)))) * -0.1601888)) - (x8 * 0.20560727)) * 1.0748035"
