Complexity,Loss,Equation
1,0.00882141,"x26"
3,0.008590401,"x26 + 0.015198913"
5,0.0065640924,"x26 + (x18 * -0.103813775)"
6,0.0064339587,"(sin(x18) * -0.11785092) + x26"
7,0.0059040263,"(x22 * -0.20476936) - (x26 * -1.151995)"
8,0.005740283,"(sin(x22) * -0.22733197) - (x26 * -1.1519073)"
9,0.0055187596,"sin(exp((0.113408074 - x2) / 0.0882616) + x26)"
11,0.005091416,"sin(exp(1.5296723 - (x2 / 0.0765761)) + x26) * 1.053866"
13,0.0032152787,"sin((x26 + exp((0.11358789 - x2) / 0.219242)) - (x8 * 0.3019621))"
15,0.0023438898,"sin((exp((0.12323153 - x2) / 0.087441236) + x26) - (x20 * 0.14298339)) * 1.1235281"
17,0.002195146,"1.1235281 * sin((x26 - ((x8 + x19) * 0.14298339)) + exp((0.12323153 - x2) / 0.087441236))"
19,0.002120904,"1.0857872 * sin((x26 / 0.9077876) + ((x21 - exp(x14 - (-2.886744 + (x2 / 0.090493314)))) * -0.19501668))"
20,0.0016582524,"(x26 * 1.127733) + ((x21 - (((x26 + -0.90984553) * -0.5191699) * exp(5.2456436 - (x2 / 0.039991245)))) * -0.17782357)"
21,0.0015028737,"(((sin(x21) - (((x26 + -0.9019708) * -0.5172864) * exp(5.2517896 - (x2 / 0.038457945)))) * -0.17483364) + x26) * 1.127649"
25,0.0014467466,"(x26 * 1.1225039) + ((sin(x21) - (((x26 + -0.8525185) * exp((x8 * -4.722886) - ((x2 / 0.041391727) + -4.7304163))) * -0.77243423)) * -0.19412167)"
27,0.0013219338,"((sin(x21) - ((exp(((x8 * x21) / -0.06811613) - ((x2 / 0.039756343) + -4.7273855)) * -0.7683892) * (x26 + -0.87804383))) * -0.21260296) + (x26 * 1.1397041)"
