Complexity,Loss,Equation
1,0.011984489,"x26"
3,0.011911212,"x26 * 0.9815812"
5,0.009538555,"(x17 * -0.10259178) + x26"
6,0.009408948,"x26 - (sin(x17) * 0.11621984)"
7,0.008936163,"(x26 - (x22 * 0.17214319)) * 1.1422216"
8,0.008804695,"x26 - (sin(x19 + x8) * 0.12211871)"
9,0.008133491,"(sin(exp(x2 + x19)) * 0.081899665) + x26"
10,0.007894928,"x26 + ((x2 + (x19 - cos(x13))) / -6.2292323)"
11,0.0073225796,"x26 + (((x19 + (x2 + x8)) - 1.0121044) / -7.225579)"
12,0.0070046433,"(((sin(x19 + x8) + x2) - 0.9567006) / -6.2292323) + x26"
13,0.00675876,"x26 + (((x8 + ((x19 + 1.2765657) * x2)) - 1.2335255) / -6.542708)"
14,0.005328596,"x26 - ((sin(x2) - sin(x19 + 2.092845)) / exp(x26 + x2))"
15,0.00514615,"x26 - ((sin(x2) - sin(2.0803642 + x19)) / exp(sqrt(x2) + x26))"
16,0.0036674915,"x26 - ((sin(x2) - sin(2.0635707 + x19)) / (x2 + exp(x26 + x26)))"
18,0.0034778689,"x26 - ((sin(x2) - sin(x19 + 2.0803642)) / ((x2 + exp(x26 + x26)) + x8))"
19,0.00320363,"x26 - ((sin(x2) - sin(x19 + 2.0635707)) * (cos(x26) / (x2 + exp(x26 + x26))))"
20,0.0029114408,"x26 - ((cos(x26 * 1.5674465) * (sin(x2) - sin(x19 + 2.0336823))) / ((x26 + 0.76402426) + x2))"
21,0.0027670593,"x26 - ((sin(x2) - sin(x19 + 2.0485175)) * (cos(x26 * 1.54147) / exp((x2 + x26) + -0.36198846)))"
23,0.0027480267,"((0.0074041695 - ((sin(x2) - sin(x19 + 2.0607293)) * cos(x26 * 1.5497614))) / exp((x2 + -0.349821) + x26)) + x26"
26,0.0027138167,"((x26 + ((exp((x17 * x2) + -1.2437893) - sin(x2 + 33.216072)) / ((0.31611016 - x2) - exp(x26)))) * 0.91594505) - (x8 * 0.28198096)"
27,0.0026138208,"((x26 + ((exp((x2 * sin(x17)) + -1.2349116) - sin(x2 + 33.214058)) / ((0.3341791 - x2) - exp(x26)))) * 0.9135695) - (x8 * 0.29286775)"
29,0.0024313384,"((x26 + ((exp((x17 * x2) + -1.2344912) - sin(x2 + 33.21385)) / ((0.34244782 - (x2 / cos(x25))) - exp(x26)))) - (x8 * 0.27676773)) * 0.9120974"
30,0.0024245072,"((x26 + ((exp((sin(x17) * x2) + -1.2344912) - sin(x2 + 33.21385)) / ((0.34244782 - (x2 / cos(x25))) - exp(x26)))) - (x8 * 0.27676773)) * 0.9120974"
