Complexity,Loss,Equation
1,0.0077188155,"x26"
3,0.007412469,"x26 + 0.01750278"
5,0.005596803,"x26 + (x17 * -0.098195456)"
6,0.005515627,"x26 - (0.11075169 * sin(x17))"
7,0.0048910873,"(x26 - (x21 * 0.15693991)) * 1.1303923"
8,0.0048040785,"(sin(x21) * -0.19535762) + (x26 * 1.1271152)"
10,0.0046852836,"(x26 * 1.0812585) + ((cos(x25) * x20) / -5.417836)"
12,0.0039253035,"(x18 / ((x2 / cos(x26 * -1.5820053)) * -5.6998625)) + x26"
14,0.0035416312,"x26 + (x17 / (((x2 * -7.967133) / cos(x26 * 1.5364478)) + 0.51106876))"
16,0.0028687748,"x26 + ((x18 - 0.22139981) / (0.55710363 + ((x2 * -8.840084) / cos(x26 * 1.563037))))"
17,0.0027260685,"(x26 - 0.10676544) + ((sin(x19) + -0.8038347) / (((x2 * -6.858355) - x26) / cos(x26)))"
18,0.0023963214,"x26 + ((x19 - 0.19906004) / ((x22 + ((-8.826268 * x2) / cos(x26 * -1.5756083))) + 0.658713))"
19,0.0021598754,"x26 + ((x19 - 0.16275151) / (((x2 * -8.838356) / cos(1.5483983 * x26)) + (sin(1.0162383) + x18)))"
29,0.0021189663,"((x18 + -0.76280653) / ((((x2 * -6.9200997) - (x8 + (x8 + (x18 * x23)))) - (x26 / cos(x26))) / cos(x26))) + (x26 - (x11 + 0.10031605))"
