Complexity,Loss,Equation
1,0.014212702,"x26"
3,0.014000071,"x26 - -0.014571709"
5,0.012759613,"x26 - (x18 * 0.084313944)"
6,0.010659771,"sin(x26 - (-0.053367145 / x2))"
7,0.009066281,"sin(x26 - (log(x2) * 0.30878302))"
8,0.005590571,"sin(x26 - (-0.008080933 / (x2 + -0.10505761)))"
9,0.004433608,"x26 - (-0.006697312 / (x2 + (x8 + -0.10541221)))"
10,0.0044121826,"x26 - (-0.0066916076 / ((sin(x2) + x8) + -0.1053553))"
11,0.0041539124,"x26 - (-0.006697312 / ((x2 + x8) + (x8 + -0.10541221)))"
12,0.004130256,"x26 - (-0.006879531 / (x8 + (x8 + sin(x2 - 0.105248086))))"
13,0.0038672388,"x26 - (((x8 + -0.41787788) * (x26 - cos(x2))) * log(x2))"
14,0.0029347404,"x26 - ((log(sin(x2)) * (x8 + -0.4544122)) * (x26 - cos(x2)))"
15,0.0026124562,"x26 - ((-0.48363632 + x8) * (log(sin(x2 * 1.2315018)) * (x26 - 1.0140043)))"
16,0.002517752,"x26 - (sin((x26 - 1.0053616) * (x17 + -0.44872314)) * log(sin(x2 * 1.1821129)))"
18,0.0017165791,"x26 - (log(x2 * ((x19 * 0.27698895) + 0.9449249)) * ((x26 - 0.99709713) * (x8 + -0.45730937)))"
19,0.0016710641,"x26 - (log(((sin(x19) * 0.29815856) + 0.946625) * x2) * ((x26 - 0.996976) * (x8 + -0.45710307)))"
20,0.0016520922,"x26 - (log(x2 * ((sin(x19) * 0.29779926) + 0.945992)) * sin((x8 + -0.46983793) * (x26 - 0.99939513)))"
21,0.0015712266,"x26 - ((((cos(x19 + -0.67846966) * 0.45956418) + log(x2 * 0.6700736)) * (x8 + -0.46876332)) * (x26 - 0.9895614))"
22,0.0015301591,"x26 - (((x23 + 0.9970652) * (log(x2 * 0.6183276) * (x19 + (x2 + -1.0612062)))) * ((x26 - 1.0042781) * 0.38696077))"
24,0.0014876081,"x26 - (log(x2 * 0.6108926) * ((((-0.007058423 - (x23 + 1.0687679)) * ((x2 + x19) + -1.0678154)) * -0.35455328) * (x26 - 0.9983763)))"
25,0.0013751804,"x26 - (log(x2 * 0.6047242) * (((((x2 + x19) + -1.0439835) * (x26 - 1.0014365)) * sin(-0.03394527 - (x22 + 0.9966675))) * -0.4607184))"
27,0.00137495,"(x26 - ((((x2 + -1.0656928) + x19) * ((sin(-0.037464373 - (x23 + 0.9996327)) * -0.44533542) * log(x2 * 0.59161305))) * (x26 - 1.0060791))) - 0.006446063"
29,0.0013229888,"(x26 - ((log(x2 * 0.65973276) + (cos(x19 + (x8 + -0.63804805)) * 0.4966672)) * ((x8 + -0.508264) * ((x26 - 0.9933816) + x9)))) / (1.0336833 - x10)"
