Complexity,Loss,Equation
1,0.40888098,"0.32663327"
2,0.35213158,"cos(x2)"
3,0.18527712,"0.8876314 - x2"
4,0.1789148,"sin(0.93812114 - x2)"
5,0.17646922,"(0.95133305 - x2) / 1.19468"
6,0.15018444,"cos(x2 + x8) + -0.32109666"
7,0.14040245,"((x8 * 0.033128064) + 0.8483984) - x2"
8,0.12984906,"sin(0.69248784 - (x2 / (x25 + 1.6150028)))"
9,0.124545485,"0.74471736 - ((x2 / (x26 + 2.8916616)) / 0.4618765)"
10,0.11147724,"sin(0.8659671 - ((x2 / (x26 + 2.2373984)) / 0.50853956))"
12,0.110476166,"sin((0.5095812 - (x2 / (x26 + 2.2637765))) / 0.45984977) - 0.13667761"
14,0.077011175,"sin(0.8755796 - (((x2 / (x26 + 2.2483792)) / 0.4980917) - (x12 * -0.12093321)))"
16,0.07348166,"sin(0.7984181 - (((x2 / (x26 + 2.2081645)) / 0.5553022) - (x12 * -0.11920223))) * 1.1310619"
18,0.07213551,"sin(0.73963743 - ((((x2 + -0.043459844) / (x26 + 2.0394764)) / 0.6341766) - (x12 * -0.1172095))) * 1.1949983"
20,0.0714083,"(sin(0.73963743 - ((((x2 + -0.043459844) / (x26 + 2.0394764)) / 0.6341766) - (-0.1172095 * x12))) + x10) * 1.1949983"
22,0.07102134,"((x10 + x10) + sin(0.73963743 - ((((-0.043459844 + x2) / (x26 + 2.0394764)) / 0.6341766) - (x12 * -0.1172095)))) * 1.1949983"
24,0.07081722,"((x10 + x10) + sin(0.73963743 - ((((-0.043459844 + x2) / (x26 + (x1 + 2.0394764))) / 0.6341766) - (x12 * -0.1172095)))) * 1.1949983"
26,0.06931821,"((x19 * x10) + (sin(0.73963743 - ((((x2 + -0.043459844) / (2.0394764 + x26)) / 0.6341766) - (x12 * -0.1172095))) + x10)) * (1.1949983 + x3)"
28,0.06930582,"(x10 + ((x19 * x10) + sin(0.73963743 - ((((-0.043459844 + x2) / (x26 + 2.0394764)) / (0.6341766 + (-0.72138816 * x10))) - (x12 * -0.1172095))))) * 1.1949983"
30,0.06927106,"((x19 * x10) + (x10 + sin(0.73963743 - ((((x2 + -0.043459844) / (x26 + 2.0394764)) / ((x3 * -0.72138816) + 0.6341766)) - (x12 * -0.1172095))))) * (x3 + 1.1949983)"
