Complexity,Loss,Equation
1,0.034408893,"x25"
3,0.033637375,"x25 * 0.94059396"
5,0.026961043,"x25 - (x19 * 0.18493979)"
6,0.026435573,"x25 - (sin(x19) * 0.21097368)"
7,0.023765413,"x25 - ((x26 - x19) * -0.23407555)"
8,0.020697154,"sin(x25 - (-0.33247608 * (x26 - x19)))"
9,0.020637073,"(x25 - ((x26 - x19) * -0.30534986)) * 0.87609386"
10,0.020246161,"sin((x25 + -0.20074385) - (-0.2192402 / (x2 + x8)))"
11,0.01614886,"sin(x25 - ((-0.15871927 / x2) - (-0.17340492 * exp(x17))))"
12,0.015700053,"sin(x25 - ((-0.14006369 / x2) - ((x19 * -0.25886178) + -0.16262226)))"
13,0.014660369,"sin(x25 - ((-0.16344884 / x2) - (exp(x17) * -0.24257442))) + 0.07352171"
15,0.0131200105,"sin((x25 + -0.4234633) - ((sqrt(1.8001844 / x2) - (x8 + x19)) * -0.32275403))"
16,0.012801661,"sin((x25 - (exp(x24) * -0.19605145)) - (((0.38651702 / x2) - exp(x19)) * -0.32126194))"
17,0.011780994,"sin(x11 + ((x25 - ((sqrt(2.483562 / x2) - (x8 + x19)) * -0.30527818)) + -0.49108022))"
18,0.010598982,"sin((x25 - ((-0.15492138 / x2) - (exp(x19) * -0.26892066))) / exp(x8 * -0.63073254)) + 0.11668478"
19,0.008028474,"sin((x25 - ((sqrt(1.8035755 / x2) - (x19 + x8)) * -0.39458352)) + (-0.52098656 - (x22 * -0.23244783)))"
23,0.0074696233,"sin((((x25 + (-0.61067986 - (x22 * -0.35896516))) - ((sqrt(1.8111658 / x2) - (x8 + x19)) * -0.46155345)) * 0.8908981) + x9)"
25,0.0066671087,"sin((((x25 - ((sqrt(3.1857493 / x2) - ((x9 + x8) + x19)) * -0.4485138)) + -0.78700984) - (x22 * -0.3371275)) * 0.8016069) / 0.90768754"
