Complexity,Loss,Equation
1,0.009443694,"x26"
3,0.009300435,"x26 - -0.011969458"
5,0.0077263825,"x26 + (-0.08822152 * x17)"
6,0.0076344386,"x26 + (sin(x18) * -0.10187867)"
7,0.0070011728,"(x26 - (x22 * 0.17215447)) / 0.86330986"
8,0.006861961,"(x26 - (sin(x22) * 0.19241466)) / 0.8636321"
9,0.0045387945,"sin(((x8 + log(x2)) * -0.3509331) + x26)"
11,0.003906342,"sin(x26 + ((x8 + log(x2)) * -0.39497933)) - -0.026675437"
13,0.0024660476,"sin(x26 - ((x17 * 0.12316693) - ((x8 + log(x2)) * -0.38270044)))"
15,0.002040599,"sin(x26 - (((x2 * 0.13240711) * x17) - ((x8 + log(x2)) * -0.41025242)))"
17,0.001509736,"sin((x26 - ((x19 * -0.11503948) * (x12 - x2))) - ((x8 + log(x2)) * 0.47614962))"
19,0.0013414656,"sin((x26 - (x19 * ((x12 - x2) * -0.11939123))) - ((x8 + log(x2)) * 0.4720874)) / 0.96159804"
22,0.0012794782,"sin(x26 - ((x19 * ((exp((x20 * x23) * -1.9571037) - x12) * 0.17434856)) - (log(x2 + x8) * -0.5509393)))"
23,0.001219771,"sin(x26 - ((((((x24 * x21) * -1.0603638) + 0.94634193) - x12) * (0.16843073 * x19)) - (log(x8 + x2) * -0.53996587)))"
24,0.0011632466,"sin(x26 - ((x19 * (0.1488131 * (((x21 * x20) * -1.414033) + exp(x6 - x12)))) - (log(x2 + x8) * -0.5546521)))"
26,0.0011414415,"sin(x26 - (((((-1.368268 * x20) * x21) + exp(x10 - x12)) * (x19 * 0.15266375)) - (log(x8 + x2) * -0.56225246))) / 0.9887482"
28,0.0011357885,"sin(x26 - ((x19 * ((exp(x6 - x12) + (x20 * (x21 * -1.3833902))) * 0.14923507)) - (log((x8 + x7) + x2) * -0.54637617))) * 1.0125393"
