Complexity,Loss,Equation
1,0.39758244,"0.2842871"
2,0.34587055,"sin(x26)"
3,0.1751092,"0.8912725 - x2"
4,0.16994524,"cos(x2 + 0.6366456)"
5,0.16819769,"0.8015444 - (x2 * 0.8520949)"
6,0.14637287,"cos(x8 + x2) + -0.34715426"
7,0.13656129,"((x8 * 0.032752033) - x2) + 0.8569221"
8,0.12202047,"cos((x2 * (x8 + 0.9539248)) + 0.64370286)"
10,0.110292144,"cos(((x2 + -0.4292935) * x8) + (x2 + 0.64809906))"
11,0.10271189,"cos(x2 + (0.6255394 + (x8 * (log(x2) + 0.7810331))))"
13,0.100567155,"cos((x2 + (x8 * (log(x2) + 0.79972774))) + 0.50244576) + -0.10300475"
15,0.09021275,"cos((x2 + 0.6174243) + (x8 * ((log(x2) + 0.80267364) + (x10 / -0.034315404))))"
16,0.086135656,"cos((((((x8 * x12) - x26) * -0.54122865) * x8) - (x2 + -0.73341775)) + -1.4016372)"
18,0.08515198,"cos(x2 + (-0.73118085 - ((((x12 * (x8 * 0.83012694)) - x26) * (x8 * -0.66844106)) + -1.4064828)))"
20,0.08467585,"cos((((x8 * -0.66844106) * (((x8 * 0.83012694) * x12) - x26)) - (x2 + -0.73118085)) + -1.4039384) + x10"
22,0.083009824,"cos((((x8 * -0.66844106) * ((x8 * (x12 * 0.83012694)) - x26)) - (x2 + -0.73118085)) + (-1.4039384 + (x19 * x10)))"
24,0.079308435,"cos(((((x20 - x24) * 0.001979759) + (((x8 * (x12 * 0.83010304)) - x26) * (x8 * -0.6684149))) + -1.4039348) - (x2 + -0.7311846))"
25,0.07682847,"cos(((exp(0.61620367 - x13) * 0.002531926) + ((x8 * -0.66843987) * (((x8 * x12) * 0.830126) - x26))) + (-1.4039384 - (x2 + -0.73118085)))"
27,0.07652792,"cos(((exp((0.6162037 - x13) + 0.70691174) * 0.0025322395) - (x2 + -0.73118085)) + ((((x8 * (x12 * 0.83012694)) - x26) * (x8 * -0.66844106)) + -1.4039384))"
29,0.068009235,"cos((((((((x8 * x12) * 0.83012265) - x26) * x8) * -0.6684356) + (exp(0.61620355 - ((x20 + x13) * 0.5942064)) * -0.0029961239)) - (x2 + -0.7311809)) + -1.4039384)"
30,0.067867614,"cos(((((((0.83012694 * x12) * x8) - x26) * (x8 * -0.66844106)) + (exp(sqrt(1.8415062) - ((x20 + x13) * 0.5942035)) * 0.0025322395)) - (x2 + -0.73118085)) + -1.4039384)"
