Complexity,Loss,Equation
1,0.011583986,"x26"
3,0.011514896,"x26 * 0.98197275"
5,0.009340072,"x26 - (x17 * 0.099926524)"
6,0.009246389,"x26 - (sin(x17) * 0.112997696)"
7,0.008414738,"sin(x26 + exp(x2 * -5.1869707))"
8,0.008367201,"exp((x2 * -5.3778524) - x26) + x26"
9,0.0070036687,"sin(exp((x2 * -9.375017) - -1.0675979) + x26)"
11,0.004902028,"sin((x8 + (log(x2) - (x26 + x26))) * -0.45539138)"
13,0.0044281376,"sin(((x8 + log(x2)) - (x26 + x26)) * -0.46535295) + 0.022926899"
15,0.002922387,"sin(((log(x2) - (x26 + (x25 - x8))) * -0.48497328) - (x17 * 0.17935885))"
17,0.0022296247,"sin(((log(x2) - (x26 + (x25 - x8))) * -0.49182802) - ((x17 * 0.19195719) * x2))"
19,0.0018713105,"sin(((log(x2) - ((x26 + x26) - x8)) * -0.48819038) - ((x12 - x2) * (x17 * -0.10857006)))"
21,0.0016149983,"sin(((log(x2) - ((x26 + x26) - x8)) * -0.48101786) - ((x12 - x2) * (x19 * -0.12316884))) * 1.0496871"
23,0.0016130806,"(sin(((log(x2) - ((x26 + x26) - x8)) * -0.4801673) - ((x12 - x2) * (x19 * -0.12416225))) * 1.0506669) + -0.0017769489"
25,0.001570395,"(-0.03576586 + sin(((log(x2) - (x26 + (x26 - x8))) * -0.46405223) - (((x19 * -0.119092524) * (x12 - x2)) + -0.037752133))) * 1.0764171"
28,0.0015146581,"(sin(((log(x2) - ((x26 + x26) - x8)) * -0.4617568) - ((x12 - exp(-0.18615872 - x8)) * ((x19 + -0.16656636) * -0.13563631))) + -0.020455077) * 1.0624909"
30,0.0015133835,"(sin(((log(x2) - ((x26 - x8) + x26)) * -0.4639693) - (((x4 + x19) + -0.16481687) * (-0.13708335 * (x12 - exp(-0.18702827 - x8))))) + -0.020365985) * 1.0597738"
