Complexity,Loss,Equation
1,0.37900814,"0.24054942"
2,0.30270892,"sin(x26)"
3,0.16286525,"0.89919347 - x2"
4,0.15868604,"sin(0.9360087 - x2)"
5,0.15755436,"(x2 * -0.86592036) + 0.81088877"
6,0.14028391,"sin(1.0527481 - (x2 + x8))"
7,0.11965175,"sin(exp(x8) * (0.91111153 - x2))"
8,0.11056644,"sin(0.948537 - ((x8 + 0.97731405) * x2))"
9,0.095498465,"sin(exp(1.4923921 - x2) - (x8 + 1.6257448))"
11,0.092908405,"sin(exp((x10 + 1.4939692) - x2) - (x8 + 1.6286284))"
12,0.09268346,"sin((2.2414732 - x2) - (x2 + (x8 * 0.9815478))) + -0.19279249"
13,0.08448744,"sin(exp(((x10 / 0.14494151) - x2) + 1.5028408) - (x8 + 1.6342559))"
15,0.084394306,"sin((exp(((x10 / 0.14494151) - x2) + 1.5028408) - (x8 + 1.6342559)) - x3)"
17,0.08256251,"sin(exp((x10 / 0.1480079) + (1.5205705 - x2)) - (((x8 * 0.987201) + 1.687851) + x4))"
18,0.08027662,"sin((2.2193644 - x2) - (x8 + x2)) + ((((x8 * -0.05128469) + -0.02060126) * x12) - 0.17363492)"
20,0.07860768,"(sin((2.2224908 - x2) - (x8 + x2)) + ((x10 + (-0.01937088 - (x8 * 0.04755718))) * x12)) - 0.17328404"
22,0.078040205,"sin((2.2229753 - x2) - (x2 + x8)) + (x10 + ((x12 * ((x10 + (x8 * -0.047076512)) + -0.01923021)) - 0.17133604))"
24,0.077626124,"(x10 + (sin((2.2260387 - x2) - (x8 + x2)) + ((x10 + ((x8 * -0.043355823) + (x10 + -0.018002257))) * x12))) - 0.17090721"
26,0.07720925,"sin((2.220499 - x2) - ((x8 * 0.97941244) + x2)) + ((x12 * (((x8 * (x15 + x19)) * (x10 + x10)) + -0.004443018)) - 0.16405633)"
27,0.077208586,"(sin((2.2206361 - x2) - ((x8 * 0.9796915) + x2)) + (x12 * ((((x15 + x19) * (x10 + sin(x10))) * x8) + -0.004436634))) - 0.16485456"
28,0.076647244,"((((x8 * (x15 + x19)) * (x16 * (x10 + x10))) + -0.00445273) * x12) + (sin((2.2204995 - x2) - ((x8 * 0.979416) + x2)) - 0.16405423)"
30,0.07664074,"(x12 * (((x15 + x19) * ((x16 * (x10 + x10)) * x8)) + -0.0044506653)) + ((sin((2.2202482 - x2) - ((x8 * 0.97929054) + x2)) - 0.16458519) - x9)"
