Complexity,Loss,Equation
1,0.013886695,"x26"
3,0.0136668105,"x26 - -0.0148281865"
5,0.011680661,"x26 + (x19 * -0.097097404)"
7,0.009569488,"x26 - (-0.0028914884 / (x2 - 0.104452245))"
9,0.007981206,"x26 - (((x25 + -0.89992714) * 0.04525399) / x2)"
11,0.0044845846,"(((x26 + -1.0180832) / x2) * (-0.0092577245 / x2)) + x26"
13,0.004215227,"x26 + (((((x26 + -1.015282) / x2) / x2) + x17) * -0.009331356)"
15,0.003397954,"((((x26 * -0.008770754) + 0.009019051) / x2) / x2) + ((x17 * -0.0698556) + x26)"
17,0.0028451595,"((((x26 * -0.008770754) + 0.009019051) / x2) / x2) + ((-0.0698556 * (x16 + x8)) + x26)"
19,0.002701759,"(((((x26 * -0.008743061) + 0.00935416) / x2) / x2) + x26) + ((x8 - (-0.13964581 - x17)) * -0.07087563)"
21,0.0018067772,"x26 - ((((((x22 + 1.0316958) * x19) - (0.5504643 / x2)) * 0.12591094) + 0.06497135) * ((x26 * -1.3789665) + 1.4178784))"
23,0.001800422,"(x26 - (((((x19 * (x22 + 1.0434681)) - (0.5495184 / x2)) * 0.12646097) + 0.06974301) * ((x26 * -1.3829528) + 1.408148))) + 0.0071532535"
25,0.0017342538,"x26 - (((x26 * -1.3789665) + 1.4178784) * (0.06497135 + ((((x22 + 1.0316958) * (x19 - (0.039116982 / x2))) - (0.5504643 / x2)) * 0.12591094)))"
27,0.0015902044,"x26 - ((((((x22 + 1.1244085) * (x19 - (0.124178305 / x2))) - (0.5116673 / x2)) * 0.13003018) + 0.0783793) * ((x26 * -1.3872098) + (1.4105484 + x4)))"
29,0.0015825854,"x26 - (((0.076968975 - x9) + ((((x22 + 1.1394782) * (x19 - (0.11534059 / x2))) - (0.5099188 / x2)) * 0.12874724)) * ((x26 * -1.3893389) + (x4 + 1.4082398)))"
