Complexity,Loss,Equation
1,0.014639424,"x26"
3,0.01408414,"x26 + 0.023564786"
5,0.01246998,"x26 + (x18 * -0.104313836)"
7,0.0103548085,"x26 + (0.001733216 / (x2 + -0.10817444))"
9,0.004772404,"(0.002849397 / (x2 - (x8 + 0.10948367))) + x26"
11,0.004317002,"(x26 + (0.11623173 / (x2 + (x8 / x2)))) - 0.094364"
13,0.002830215,"(x18 * -0.10064483) - ((0.040439337 / (-0.04452165 - (x8 / -0.00063967303))) - x26)"
15,0.0026928787,"(x20 * -0.11399365) - ((0.041364297 / (-0.044340327 - (x8 / -0.0018785205))) - (x26 / 0.9599862))"
19,0.0023233786,"(0.046135604 - (0.12259413 * x19)) - (((-0.0034801185 / (x2 - 0.15878928)) / (-0.08060891 / (1.0005975 - x26))) - x26)"
21,0.0022517205,"(x19 * -0.13887244) - ((0.5274228 / (((x2 - 0.071973294) / (0.95471406 - x26)) / -0.08314538)) - ((x26 / 0.9014642) + -0.043370944))"
23,0.002251352,"(x19 * -0.13887244) - ((0.5274228 / (((x2 - 0.071973324) / (0.95471406 - x26)) / -0.08314538)) - (-0.043370936 + (x26 / (0.9014642 + -0.0009345732))))"
25,0.001923765,"((0.11158211 - (x16 * -0.091358624)) * (x2 * (-0.04900812 - x18))) - ((0.0005385419 / ((x2 - 0.10081792) / ((1.0187919 - x26) / -0.04900812))) - x26)"
27,0.0014997736,"(((-0.7642779 - x19) * (-0.39794526 - x18)) * (x2 * -0.17488523)) - ((((0.009660045 / ((x2 - 0.04748534) / (0.911598 - x26))) / -0.14980727) - x26) * 1.0945566)"
