Complexity,Loss,Equation
1,0.008872492,"x26"
3,0.008778376,"x26 * 0.9787006"
5,0.007184835,"x26 - (x19 * 0.08998625)"
7,0.006672836,"x26 - ((x8 + x19) * 0.08502323)"
9,0.0063990382,"0.12710519 - (((x2 + x19) * 0.13124438) - x26)"
11,0.005373296,"0.13653468 - ((((x8 + x19) + x2) * 0.1312258) - x26)"
13,0.0050346623,"0.24141541 - (((((x8 + x2) * 1.6892186) + x22) * 0.1336084) - x26)"
15,0.004657704,"0.32002586 - ((((x8 / x2) + ((x19 + 2.1867104) * x2)) * 0.1427346) - x26)"
17,0.0046064975,"0.2920577 - ((((x15 + x26) * 0.14991283) + ((x2 * (x2 + x8)) * 0.27848074)) - x26)"
19,0.0041424665,"0.29511157 - (((x26 + (((2.1967063 + x16) * (x2 * x2)) + (x8 * 2.6978981))) * 0.12663567) - x26)"
21,0.0040568756,"(0.33353508 - ((((x8 * 2.8260121) + (x26 + (((x15 + 2.4417777) * x2) * x2))) * 0.12889095) - x26)) / 1.0351454"
23,0.0037636848,"0.39201462 - (((((((x2 * (x17 + 1.5730051)) + (x21 * -0.7126295)) * x2) + x26) + (x8 * 1.8480465)) * 0.23297134) - x26)"
25,0.0037387924,"(0.42168355 - ((((x26 + (((x21 * -0.7778358) + (x2 * (x17 + 1.5584232))) * x2)) + (x8 * 1.8020835)) * 0.25225213) - x26)) / 1.0120844"
27,0.0037382895,"((0.41900295 - (((((((x21 * -0.77909255) + ((x17 + 1.5561572) * x2)) * x2) + x26) + (x8 * 1.7944943)) * 0.25107545) - x26)) / 1.0119165) - x11"
29,0.0037347921,"((0.42204952 - ((((x26 + (x2 * ((x21 * -0.79523593) + (x2 * (x17 + 1.5318445))))) + (x8 * 1.7418555)) * 0.25715768) - x26)) / (x4 + 1.0096216)) + x6"
