Complexity,Loss,Equation
1,0.016283637,"x26"
3,0.015766798,"x26 + 0.02274048"
5,0.014082986,"x26 - (x17 * 0.09623784)"
7,0.011000807,"x26 + (0.0015004114 / (x2 - 0.11005901))"
9,0.0062189726,"x26 + (0.0051981066 / (x8 + (x2 - 0.10688116)))"
11,0.005640469,"x26 + (0.019260604 / ((x8 / 0.24672176) + (x2 - 0.09128049)))"
13,0.0049426267,"(-0.039406165 * x18) + ((0.005327622 / ((x8 + x2) - 0.1067001)) + x26)"
17,0.0049292007,"(x26 + -0.1558659) - (-0.38672104 / (((x19 - -2.4556139) * (x8 + x2)) + (x26 - -0.09877588)))"
19,0.0030402038,"(x26 - (-0.7030779 / ((x8 + (x2 * ((x19 - x25) + 1.5367715))) + (x26 - -0.36260402)))) + -0.37933797"
21,0.0030047337,"((x26 * 1.0159005) - (-0.6703834 / (((x26 + x8) + (((x19 + 1.4799038) - x25) * x2)) - -0.3481323))) + -0.37638706"
23,0.002268761,"(x26 + -0.5230053) - (-0.87201154 / (x8 + (((((1.2291297 + x19) - x25) * x2) - ((x19 * 0.34591365) - 0.42534736)) + x26)))"
25,0.0022580745,"((x26 / 1.0109113) - (-0.9625352 / (x26 + ((x2 * ((x19 + 1.2470825) - x25)) + (x8 - ((x19 * 0.36685422) - 0.4684609)))))) + -0.5559385"
27,0.0022580726,"((((x5 - -0.9655242) / ((x8 + (x26 + (x2 * ((x19 + 1.2460065) - x25)))) - ((x19 * 0.3660237) - 0.46494597))) + x26) / 1.0105804) + -0.553339"
29,0.002258072,"((((x5 - -0.9655308) / (x26 + (((x2 * ((x19 + 1.2460169) - x25)) - ((x19 * 0.36603007) - 0.46494684)) + x8))) + x26) / 1.0105895) + (-0.5533322 - x0)"
