Complexity,Loss,Equation
1,0.013967955,"x26"
3,0.013851547,"x26 - -0.010790276"
5,0.01186535,"x26 - (x19 * 0.097756684)"
7,0.011030537,"(x26 - (0.17505306 * x22)) / 0.8717102"
9,0.009815651,"x26 - (((x25 * 0.04132168) - 0.037789088) / x2)"
11,0.006916257,"x26 - ((((x26 * 0.07602295) - 0.09145661) / x2) - -0.09329213)"
13,0.0058654025,"x26 - ((((x26 * 0.10443658) - 0.10567038) * 0.10443658) / (x2 - 0.098799884))"
15,0.0046155704,"x26 - (((x26 * -0.079978496) - -0.08219441) * ((x18 + 1.3575639) - (1.1992737 / x2)))"
17,0.0045669903,"(x26 - (((x18 + 1.426222) - (1.1265651 / x2)) * ((x26 * -0.087963745) - -0.08798837))) + 0.0148696825"
19,0.0034357992,"x26 - ((((x2 + x17) - 1.0890023) * ((x26 * -0.124604054) - -0.12526916)) / ((1.3025311 - x19) * x2))"
21,0.0030523604,"x26 - (((((x2 - 0.93100137) / x2) - (x19 * (-0.3551293 - x22))) + x19) * ((x26 * -0.11368024) + 0.11619243))"
23,0.002832247,"x26 - ((((x26 * -0.13234247) + 0.13272215) * ((x2 - 1.0195282) + x19)) / (x2 - ((x2 * x19) * (1.4344743 - x19))))"
25,0.0027706884,"(x26 - ((((x26 * -0.13586584) + 0.13543154) * (x2 + (x19 - 0.96326345))) / (x2 - (x19 * (x2 * (1.4123265 - x19)))))) - -0.011918477"
27,0.002701468,"(x26 * 1.0264658) - ((((x26 * -0.1668523) + 0.16428576) * ((x2 + x19) - 1.0783998)) / (((0.030132664 - (x2 * x19)) * (1.4621915 - x19)) + x2))"
29,0.0026511664,"(x26 - (((((x19 - 0.9702935) + x2) / (x2 - ((x2 * (1.407253 - x19)) * x19))) + (x26 * -0.14217888)) * ((x26 * -0.13881466) + 0.1376852))) - -0.016423658"
