Complexity,Loss,Equation
1,0.09650495,"x26"
3,0.07592557,"x26 * 0.7828745"
5,0.062809445,"(x25 + x26) * 0.4186157"
7,0.04473763,"(x2 * (x26 + -0.7418027)) + 0.83190584"
9,0.029022345,"(x2 * (x2 + (x26 + -2.016567))) + 1.0505518"
11,0.01955671,"(x2 * (((x26 + -1.3345723) - x8) * 0.6906013)) - -0.9895452"
13,0.018983806,"(((x2 + 0.11866927) * ((x26 + -1.3962097) - x8)) * 0.62161314) - -1.0369686"
15,0.011046359,"((x12 * -0.16177925) + (x2 * (((x26 - x8) * 0.65792507) + -0.94836056))) - -0.99152833"
17,0.011046356,"((x2 * (x26 + (-1.4414934 - x8))) * 0.65790164) + (((x12 / 1.5830883) * -0.25614282) - -0.9915183)"
19,0.009615415,"((x2 * ((x26 + (-1.5120615 - x8)) * 0.651794)) - -1.0264709) + (x12 * ((x26 * 0.11105257) + -0.19149046))"
25,0.008981734,"(((x2 * ((x26 - x8) + -1.5869029)) * 0.6532028) + (x12 * (((((x12 * -0.28906092) + x26) - x2) * 0.11271694) + -0.08440885))) - -1.0852876"
27,0.008560955,"((((x2 * (x26 + (-1.5835503 - x8))) * 0.63162094) - -0.7192214) + 0.32194546) + ((((((x12 * -0.16748141) + x26) * x8) * 0.34643367) + -0.17287159) * x12)"
29,0.008430156,"(x12 * (((((x26 - -0.22134788) + (x12 * -0.218701)) * x8) * 0.3263997) + -0.2018538)) + ((((x2 * (x26 + (-1.575714 - x8))) * 0.63547426) - -0.71714187) + 0.31986645)"
