Complexity,Loss,Equation
1,0.019444562,"x26"
3,0.019065028,"x26 - -0.019473234"
5,0.01768259,"x26 - (-0.015950182 / x2)"
7,0.01436642,"x26 - (-0.0022255015 / (x2 + -0.10747233))"
9,0.0070670554,"x26 - (-0.004390564 / ((x2 + x8) + -0.108063154))"
11,0.0066586602,"x26 - (-0.0037608598 / (((x2 + -0.096862935) * 0.24326931) + x8))"
13,0.005565895,"(x26 - (-0.004390564 / (x8 + (x2 + -0.108063154)))) - (x19 * 0.083041996)"
15,0.0054039927,"(x26 - (-0.004390564 / (x8 + ((x8 + x2) + -0.108063154)))) - (x19 * 0.083041996)"
17,0.0048778253,"x26 - (((x19 + x8) - (0.045242257 / ((x2 + x2) + (x8 + -0.2216871)))) * 0.071856804)"
19,0.004634283,"x26 - (((x2 * x19) + (x8 - (0.06518519 / ((x2 + -0.21850502) + (x8 + x2))))) * 0.09763356)"
21,0.0043458752,"x26 - ((((x8 + (x19 + x8)) * x2) - (0.07080767 / (x2 + ((x2 + -0.21883786) + x8)))) * 0.087444216)"
23,0.0039526704,"x26 - (((x19 + x8) - (0.05198458 / (((x2 + x8) + -0.21739535) + x2))) * ((1.0361326 - (x25 * x26)) * 0.14351721))"
25,0.0037410099,"x26 - ((((1.0361326 - (x24 * x24)) * (x8 + x19)) - (0.0519849 / (((x8 + x2) + -0.2174987) + (x2 + x8)))) * 0.1435172)"
27,0.0036505517,"(x26 - ((((1.0361326 - (x24 * x24)) * (x19 + x8)) - (0.05198502 / (x8 + (x2 + (x2 + (x8 + -0.21756718)))))) * 0.14351724)) + -0.010947838"
29,0.0035921026,"(x26 + -0.010947838) - ((((x19 + x8) * (1.0361326 - (x24 * x24))) - (0.05198502 / ((x2 + (x8 + x8)) + ((-0.21756718 + x8) + x2)))) * 0.14351724)"
