Complexity,Loss,Equation
1,0.010632262,"x26"
3,0.010519545,"0.010634754 + x26"
5,0.009232695,"x26 + (x19 * -0.083989054)"
7,0.008384849,"(0.0021860807 / (x2 + -0.10740883)) + x26"
9,0.0057511306,"(0.0057342285 / ((x2 + -0.10580133) + x8)) + x26"
11,0.0056304554,"(0.0069939336 / ((x8 + x2) + -0.104346745)) + (x26 / 1.0230484)"
13,0.0044008167,"(0.0063642836 / (x8 + (x2 + -0.10509093))) + (x26 + (x19 * -0.08708483))"
15,0.004018755,"x26 + ((0.0075367447 / ((x2 + x8) + -0.103524804)) + ((x8 + x19) * -0.07552276))"
17,0.00300871,"(0.124597326 / x2) + (-0.12827492 + ((1.3424413 - (0.14643444 / x2)) * (x26 + (x22 * -0.22046362))))"
19,0.0025965415,"(0.1325973 / x2) + (((x26 + ((x8 + x19) * -0.13034505)) * (1.1580948 - (0.13237576 / x2))) + -0.12968114)"
21,0.0022210593,"(((0.12871273 / x2) + ((x22 + x8) * (x2 * -0.20606844))) + (x26 * (1.2395476 - (0.1399596 / x2)))) + -0.12831214"
23,0.0022201634,"((x26 * (1.2376406 - (0.14012353 / x2))) + ((x8 + x22) * ((x2 * -0.20895603) + 0.0032866239))) + ((0.12896499 / x2) + -0.12906146)"
25,0.0022152592,"((x26 * (1.2381595 - (0.13937557 / x2))) + -0.12226478) + ((x2 * ((((x22 + x8) * -0.20532362) + -0.005555994) * 1.0061715)) + (0.12832431 / x2))"
27,0.0021614518,"(((1.2418838 - (0.13892347 / x2)) * ((x2 * ((x22 + 0.27785882) * -0.18707623)) + x26)) + ((x8 + (0.12054267 / x2)) + -0.06079778)) - (x8 * 1.1677635)"
29,0.0021447416,"(((1.2670319 - (0.14718305 / x2)) * ((x2 * ((x22 + 0.32350114) * -0.19684534)) + x26)) + ((x8 + (0.12298249 / x2)) + -0.04929641)) - ((x8 * 1.1717353) + x0)"
