Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347032,"x26 - -0.015910879"
5,0.007123764,"x26 + (x17 * -0.08680168)"
6,0.0070537315,"(sin(x17) * -0.09914846) + x26"
7,0.004602831,"x26 - (-0.0005963278 / (x2 - 0.111557335))"
8,0.0043241046,"sin(x26 - (-0.013335237 / (x2 - 0.09973003)))"
9,0.0031653817,"x26 - (-0.00079897663 / ((x2 - 0.11151551) - x8))"
11,0.0029507596,"x26 - (((x26 + -0.9749581) * 0.00094700244) / (x2 - 0.1115782))"
12,0.0029474213,"x26 - (((x26 + -0.9749581) * 0.00094700244) / sin(x2 - 0.1115782))"
13,0.0026855168,"x26 - ((x26 + -0.9990302) * ((-0.027030714 / (x2 - 0.14109339)) - -0.03857024))"
14,0.0026854961,"x26 - ((x26 + -0.9990302) * ((-0.027030714 / (x2 - 0.14109339)) - sin(-0.03857024)))"
15,0.0021728682,"sin(((x26 - -0.89705485) - (-1.1072336 / (x2 * 9.177415))) - exp(x8 * 0.2760566))"
16,0.0012570821,"x26 - (((0.47628447 - (0.5963229 / x2)) * (0.22586083 - x19)) * cos(-0.5702932 - x26))"
17,0.0011329524,"x26 - (((0.48471132 - (0.6208663 / x2)) * sin(0.21700633 - x19)) * cos(-0.57029825 - x26))"
18,0.0006533804,"((x26 - ((x20 + -0.70622015) * (cos(x26 - -0.56468236) * (0.18605405 / x2)))) * 1.1431856) - 0.12206099"
19,0.00040499106,"((x26 - ((sin(x20 + -0.54975826) / x2) * (cos(x26 - -0.56799304) * 0.25554964))) * 1.1267507) - 0.11355592"
