Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.00834703,"x26 + 0.015921993"
5,0.0071237646,"x26 + (x17 / -11.516691)"
7,0.006479593,"(x26 * 1.1249347) + (x21 / -6.0298147)"
9,0.0030733498,"x26 - (-0.05153639 / ((x8 / -0.003255603) + 0.062332362))"
11,0.0028749704,"x26 - (-0.0104803415 / ((x2 * x2) - (x8 / -0.17492925)))"
13,0.0017626673,"((x17 * -0.08296609) + x26) - (-0.09204573 / (x2 - (x8 / 0.0009413626)))"
15,0.0012681909,"((x26 + (x20 * -0.12544695)) - (-0.082183056 / (x2 - (x8 / 0.0008953892)))) / 0.9213592"
17,0.00095857156,"((x22 + ((-0.069862746 / (x2 * x2)) - x26)) * (0.17771243 * (x26 + -1.003946))) + x26"
19,0.0009328917,"(((x22 + ((-0.069862746 / (x2 * x2)) - x26)) * ((-1.003946 + x26) * 0.17771243)) + x26) / 1.0101475"
21,0.0007345897,"x26 + ((x22 + (x2 / x2)) * ((((x19 + -0.72566205) / x2) + 0.6640867) * ((x26 + -0.9971991) * 0.16380218)))"
23,0.00064184825,"(((((x2 / x2) + x22) * 0.15178047) * ((x26 + -0.9929676) * (((x19 + -0.7806477) / x2) + 0.89526075))) + x26) - -0.026257798"
25,0.00061308476,"(x26 - -0.027311176) + (((-0.99093086 + x26) * (0.62481326 - (((x19 + -0.8430778) / x2) + 1.5853434))) * (((x2 / x2) + x21) * -0.14537883))"
29,0.00060785696,"(x26 - -0.024980979) + ((0.6313778 - (((x19 + -0.84641296) / x2) + 1.5787785)) * ((((x11 + x26) + -0.99421006) * -0.14007242) * (((x2 / x2) + x21) + 0.039531052)))"
