Complexity,Loss,Equation
1,0.009229753,"x26"
3,0.0089967325,"x26 + 0.015250383"
5,0.0076119853,"x26 + (x17 * -0.08790503)"
7,0.0070433,"(x22 / -5.286888) + (x26 * 1.144782)"
9,0.0064212456,"(((x2 + x19) * -0.14073402) + x26) + 0.140642"
11,0.005663784,"(x26 + ((x19 + (x2 + x8)) * -0.13389385)) + 0.1436519"
13,0.005284581,"((x26 + ((x19 + x8) * -0.14209561)) - (x2 * 0.21728732)) + 0.22477363"
15,0.00519414,"(x26 + ((((x8 + x19) * -0.14586438) - (x2 * 0.25261894)) + 0.26054636)) * 0.9739922"
17,0.0048365975,"((x26 + ((x2 * ((x12 * 0.4507952) + (x2 + x8))) * -0.50842136)) * 0.75185025) + 0.39796644"
19,0.002623445,"((((x8 + (x2 + ((x12 - x26) * 0.41339839))) * (x2 * -1.4041497)) + 1.4909195) + x26) * 0.42654753"
21,0.0026234442,"((((x2 * -1.4038213) * (x8 + (((x12 - x26) * 0.41341025) + x2))) + (x26 + 1.4905721)) * 0.42660272) - x7"
23,0.0022222067,"((((x2 * -2.6327224) * (x2 + (x8 + ((x12 - x26) * 0.55731905)))) + (x26 + 2.8136885)) * 0.26359668) + (x12 * 0.12913147)"
25,0.0019932138,"((x26 * (x26 * -0.058894157)) + 0.47076806) * (((x8 + (x2 + ((x12 - x26) * 0.37898308))) * (x2 * -1.4064761)) + (x26 + 1.496794))"
27,0.001933261,"((x26 + (((x8 + x2) + ((x12 - x26) * 0.41350612)) * (x2 * -1.513944))) + 1.6078088) * ((x26 * ((x12 - x26) * 0.03808551)) + 0.43304962)"
29,0.0016998458,"((((x2 * (x2 + (((x12 - x26) * 0.3889187) + x8))) * -1.5149971) + (x26 + 2.5282319)) * ((x26 * ((x26 - x12) * -0.048107494)) + 0.4465101)) + -0.3988982"
