Complexity,Loss,Equation
1,0.0134988,"x26"
3,0.012914054,"x26 + 0.024180945"
5,0.011090714,"(x18 * -0.10200461) + x26"
6,0.010921548,"x26 + (sin(x18) * -0.117889196)"
7,0.010392402,"(x26 - (x22 / 5.588398)) * 1.1478227"
8,0.010032701,"sin(x26 - (x22 / 4.760304)) * 1.2798607"
9,0.00499259,"cos(sqrt(x2 + x8) + (0.52156734 - x26))"
11,0.0047556926,"cos((sqrt(x2 + x8) + 0.5247203) - (0.9484512 * x26))"
13,0.003793475,"sin((((1.1182123 - x2) - x8) / exp(x2)) - (x26 * -0.9717873))"
15,0.0025795193,"cos((x17 * 0.14341517) - (x26 - ((sqrt(x2) + 0.5458585) + (x8 * 0.33311638))))"
16,0.0024060914,"cos((x2 + (((0.5984981 + (x8 * 0.5338531)) - x26) * 0.88407475)) - (x13 * -0.18272865))"
18,0.002064477,"cos((((x13 * 0.22255361) + 0.78997284) + ((((x8 * x2) * 0.6272485) + x2) - x26)) * 0.86099714)"
19,0.0016739669,"cos(((x2 - x26) + ((((x8 * exp(0.5524642 - x25)) + x15) * 0.24855329) + 0.80183166)) * 0.8558286)"
21,0.0016637215,"cos((exp((-1.2692182 - x25) + 0.2821056) * x8) + (((x2 + (0.79265606 - x26)) + (x15 * 0.25539303)) * 0.8591791))"
24,0.0013583464,"cos((x8 * 0.54334515) + (x2 + (((((((x8 * x22) * 1.260236) - x13) * -0.28565598) + 0.67139316) - x26) * 0.81011677))) - -0.0033174725"
