Complexity,Loss,Equation
1,0.009301207,"x26"
3,0.0090428535,"x26 + 0.01608046"
5,0.007482093,"x26 + (x17 * -0.09131649)"
6,0.007385028,"(sin(x17) * -0.10413148) + x26"
7,0.006865256,"((x19 * -0.121466435) + x26) * 1.075695"
8,0.0067334697,"((sin(x22) * -0.19015524) + x26) * 1.1545964"
9,0.004239831,"sin(((x8 + log(x2)) * -0.34385735) + x26)"
11,0.0033054,"sin((log((x2 + x8) + -0.093485326) * -0.30868763) + x26)"
13,0.002128995,"sin(((x8 + log(x2)) * -0.37123042) + ((x17 * -0.12441998) + x26))"
15,0.0017155865,"sin((((x16 * 0.33087224) + log(x2)) * -0.43133914) + (x26 + (-0.29370883 * x8)))"
17,0.0014164351,"(sin(x26 + (-0.16377242 * ((log(x2 + -0.111567564) + x20) + x8))) / 0.9139974) - 0.028955594"
19,0.0013339086,"sin((((-1.1461122 * x19) * ((x13 * -0.1273106) + 0.10401312)) + (-0.44577283 * (x8 + log(x2)))) + x26)"
21,0.0010985935,"sin(((log(x2) + x8) * -0.44577283) + ((((x13 * -0.1273106) + 0.10401312) * (x19 * -1.1461122)) + x26)) * 1.0339607"
23,0.0010554264,"sin((((((x13 * -0.13438158) + 0.090078935) * (x8 + -1.3681195)) * x19) + x26) + ((x8 + log(x2)) * -0.43808997)) * 1.0292096"
28,0.0010195501,"sin(((((x13 * (log(x8 + x2) * -0.43983978)) + 0.09176444) * ((x8 + -1.3692278) * x19)) + x26) + ((x8 + log(x2)) * -0.43983978)) * 1.03677"
