Complexity,Loss,Equation
1,0.01818241,"x26"
3,0.01800935,"x26 - -0.013182521"
5,0.016564408,"x26 - (x19 * 0.08530726)"
7,0.016104275,"((x8 + x19) * -0.07754415) + x26"
9,0.014544138,"x26 + (((x26 * -0.043477442) - -0.044013146) / x2)"
11,0.009611573,"x26 - ((((x26 + -0.99840224) * 0.012598207) / x2) / x2)"
13,0.0092837345,"x26 - (((((x26 + -0.99170184) / x2) + x12) / x2) * 0.012934176)"
15,0.008149079,"(x26 + (x17 * -0.08045157)) - ((((x26 + -1.0098509) * 0.012387046) / x2) / x2)"
17,0.0074227923,"((x8 + x19) * -0.081218794) + (x26 - ((-0.012662716 - (x26 * -0.012075314)) / (x2 * x2)))"
19,0.006853398,"x26 + ((((x8 + x19) * x2) * -0.11336388) - ((-0.0124754105 - (x26 * -0.012323579)) / (x2 * x2)))"
21,0.0062990827,"x26 + ((x2 * (((x8 + 0.1917891) + x19) * -0.13089103)) - ((-0.012956278 - (x26 * -0.012719886)) / (x2 * x2)))"
23,0.0057664555,"x26 + ((((((x19 + x8) * -0.14560403) + -0.20211366) * x2) - ((-0.010522297 - (x26 * -0.013063362)) / (x2 * x2))) + 0.19134387)"
25,0.0051885145,"((((((x8 + (x8 + x19)) * -0.15020305) + -0.2769348) * x2) + x26) - ((-0.009841775 - (x26 * -0.013511593)) / (x2 * x2))) + 0.27175525"
