Complexity,Loss,Equation
1,0.03180609,"x26"
3,0.031447887,"x26 * 0.96016073"
5,0.027302444,"x26 - (-0.023815334 / x2)"
7,0.017338047,"(0.00080679345 / (-0.11073906 + x2)) + x26"
9,0.014715438,"(0.037051536 / (x8 + (x2 - 0.05161217))) + x26"
11,0.01157838,"x26 - ((1.0878943 - (x26 + x2)) * (x2 + -1.0176729))"
13,0.008548705,"x26 - (((1.0207326 - x26) * (1.1263843 - x2)) * (x2 + -0.92896205))"
15,0.0051625283,"x26 - (((0.9936504 - x26) * ((1.179913 - x2) - x8)) * (x2 + -1.0507941))"
17,0.004906913,"(x26 - ((1.0438803 - x26) * (((1.1708581 - x2) - x8) * (x2 + -1.0763663)))) * 0.9550841"
19,0.0036719996,"x26 - ((x2 + -1.2828472) * ((0.98671126 - x26) * (((x19 + x8) * -0.36762577) + (0.99239653 - x2))))"
21,0.003422586,"x26 - ((x2 + -1.5261056) * (((1.0156933 - x2) + (-0.3483088 * (x8 + x19))) * ((1.0156933 - x26) * 0.7521753)))"
23,0.0033007981,"(x26 + 0.0709646) - (((x2 + -1.4843409) * (0.9175675 - x26)) * (0.8182508 - ((((x2 * x23) + x8) * 0.4073611) + x2)))"
25,0.003220645,"x26 + (0.05753549 - (((0.85250264 - ((x2 + ((x2 * x23) * 0.3873964)) + (x8 * 0.46236527))) * (x2 + -1.4535398)) * (0.9293125 - x26)))"
27,0.0030674546,"((x26 + 0.08220085) - (((0.8217836 - (x2 + ((x8 * 0.4298962) + (x22 * (x2 * 0.3077528))))) * (0.9667433 - x26)) * (x2 + -1.5076545))) / 1.0578126"
29,0.0030528433,"((x26 + 0.08220085) - (((0.8217836 - (x2 + (((x8 + -0.020216381) * 0.4298962) + (x22 * (x2 * 0.3077528))))) * (0.9667433 - x26)) * (x2 + -1.5076545))) / 1.0578126"
