Complexity,Loss,Equation
1,0.015684774,"x26"
3,0.015553682,"x26 - -0.011449576"
5,0.014058471,"x26 + (x17 * -0.084270485)"
7,0.013045729,"x26 - (-0.0019306934 / (x2 - 0.10702775))"
9,0.0084621,"x26 - (-0.005693719 / ((x2 + x8) - 0.106456175))"
11,0.0077843377,"x26 - (0.10341985 - (0.118693285 / (x2 + (x8 / x2))))"
13,0.006833655,"x26 - ((x19 - (0.042064026 / (x8 + (x2 - 0.10878414)))) * 0.08469514)"
15,0.0062072426,"(x26 + -0.11088767) - (((x19 * 0.115915604) - 0.11341524) / (x2 + (x8 / x2)))"
17,0.0056834915,"(x26 - ((((x2 * x19) * 0.1412874) - 0.120653436) / ((x8 / x2) + x2))) + -0.12550743"
19,0.0052885544,"x26 - ((x2 * (0.12757966 * (x19 - -0.91804206))) - (0.11564648 / ((x8 / (x2 - 0.10149258)) + x2)))"
21,0.0048742276,"x26 - ((x2 * ((x8 - (-0.87491214 - x19)) * 0.12364913)) - (0.11016791 / (x2 + (x8 / (x2 - 0.09687261)))))"
23,0.0047704666,"(x26 - (((x8 - (-1.1722552 - x19)) * (x2 * 0.13679706)) - (0.107116595 / ((x8 / (x2 - 0.12524176)) + x2)))) + 0.05479271"
