Complexity,Loss,Equation
1,0.010198361,"x26"
3,0.009959211,"x26 + 0.015466246"
5,0.008407907,"x26 - (x17 * 0.08997825)"
6,0.008338919,"x26 - (sin(x17) * 0.10156182)"
7,0.006810305,"sin(x26 + exp(x2 * -4.8888206))"
9,0.005644708,"sin(x26 + (exp(x2 / -0.08948491) * 3.4350665))"
11,0.0050371066,"sin(x26 + exp(1.8679266 - (x2 / 0.06177349))) * 1.0580201"
12,0.0050347154,"sin(exp(sqrt(2.5993085) - (x2 / 0.07133434)) + x26) * 1.057333"
13,0.0038213765,"sin((x26 + ((x20 * -0.1478928) + exp(x2 / -0.19050834))) * 1.1700225)"
15,0.0029504586,"sin(exp(1.6042281 - (x2 / 0.07375943)) + ((x19 * -0.12280988) + x26)) * 1.1047263"
17,0.0027652364,"(sin(x26 + ((x19 * -0.14006856) + exp(1.0094513 - (x2 / 0.11771422)))) * 1.1061424) + -0.016587216"
22,0.0026223743,"(x26 + -0.07347699) + exp((0.24109936 - x2) - ((x8 - (((x4 - x2) - (x26 * x26)) - x19)) * 1.7028548))"
23,0.0026157033,"(x26 + -0.089269) + exp((0.25124678 - sin(x2)) - ((x8 - (((x1 - x2) - (x26 * x26)) - x19)) * 1.6884362))"
24,0.0022683549,"(exp((0.25124678 - x2) - ((x8 - (((x1 - x2) - (x26 * x26)) - (x19 * x2))) * 1.6884362)) + x26) + -0.089269"
25,0.002154568,"(exp(sin(0.33419907 - x2) - ((x8 - (((x1 - x2) - (x26 * x26)) - (x19 * x2))) * 1.7326077)) + -0.09067925) + x26"
26,0.0021355166,"exp((0.357578 - x2) - ((x8 - ((x6 - x2) - ((x26 * x26) - (x5 - (x19 * x2))))) * 1.8267949)) + (x26 + -0.0795774)"
28,0.002006864,"(x26 + exp((0.32273462 - x2) - ((x8 - ((x5 - x2) - ((x26 * (x26 - -0.17642185)) - (x5 - (x19 * x2))))) * 1.496073))) + -0.10609966"
30,0.0020067042,"exp((0.3184161 - x2) - ((x8 - ((x5 - x2) - ((x26 * (x26 - -0.17988603)) - ((x5 - x19) * x2)))) * 1.4818975)) + ((x26 + -0.106835105) - x6)"
