Complexity,Loss,Equation
1,0.03226502,"x25"
3,0.016159728,"x26 - -0.011745997"
5,0.014755296,"(x17 * -0.082002416) + x26"
7,0.014305424,"x26 - ((x8 + x19) * 0.07615801)"
9,0.013629387,"x26 + (((x8 + x19) * -0.112988465) * x2)"
11,0.0111268,"(x26 / 1.1990956) + (((x2 + x8) * -0.34661564) - -0.3702406)"
13,0.011084662,"((x26 / 1.2113833) + (x8 * -0.3372777)) + ((x2 * -0.36922055) - -0.39080203)"
15,0.008326661,"1.1213474 + (x2 * (((((x8 + 1.3302817) - x25) * 2.2249537) + x18) * -0.3700383))"
17,0.007517506,"((x26 / 1.5445489) + ((x2 * (x8 + ((x19 + 1.317443) - x23))) * -0.39642563)) - -0.5182222"
19,0.005647081,"(x26 / 2.2793875) + (((x2 * ((((x8 + 1.3566072) - x25) * 1.8562019) + x17)) * -0.26366553) - -0.67811877)"
21,0.005577067,"(x26 / 2.3782701) + (((x2 + ((x2 + -0.24261314) * (x8 + ((x19 * 0.5601294) - x25)))) * -0.70327985) - -0.72143406)"
23,0.0053966725,"((((((x8 + ((x19 * 0.56114626) - x25)) * (x2 + -0.17887072)) * 0.87880856) + x2) * -0.7168302) + (x26 / 2.3903754)) - -0.731978"
25,0.0050561447,"(x26 / 2.4237256) + (((x2 + ((((x8 * 0.39621767) + -0.25480297) + x2) * (((x19 + x8) / 1.9063681) - x25))) * -0.70801127) - -0.7323002)"
27,0.0050434773,"((-0.72807264 * ((((x8 * 0.4051782) + (-0.24635507 + x2)) * (((x19 + x8) / (0.8501718 - -1.0993937)) - x25)) + x2)) - -0.7549273) + (x26 / 2.5356846)"
