Complexity,Loss,Equation
1,0.016343804,"x26"
3,0.016272945,"x26 / 1.0178541"
5,0.0147114955,"x26 - (x17 * 0.086043134)"
7,0.012960904,"x26 - (-0.0019256406 / (x2 + -0.10715154))"
9,0.008695263,"x26 - (-0.005441474 / (x2 + (x8 + -0.10596076)))"
13,0.0073960037,"x26 - (((((x26 + -1.250705) / x2) + x15) - -1.4153275) * 0.08957961)"
15,0.0064471136,"x26 - ((x26 + -1.0044158) * (((x18 - -1.6611049) + (-1.5125049 / x2)) * -0.08571128))"
17,0.0048620566,"x26 - (((((-1.4311688 / x2) + x8) + (x19 - -1.5244663)) * (x26 + -1.0340794)) * -0.093375355)"
19,0.0045371037,"x26 - ((-1.325353 - (x26 + -2.3163242)) * ((((-1.1301669 / x2) + (x19 + x8)) - -1.1881411) * 0.11868558))"
21,0.0044161747,"x26 - ((-1.3136196 - (x26 + -2.3280687)) * (((x8 + (-0.8505767 / x2)) * 0.15169212) + ((x19 - -1.1513293) * 0.11299261)))"
23,0.004374598,"(x26 - (((((-0.8115742 / x2) + x8) * 0.16032174) + ((x19 - -1.1803663) * 0.11192285)) * (-1.303639 - (-2.3380508 + x26)))) / 1.0182698"
25,0.0043674554,"(x26 - (((0.15877979 * ((-0.81266946 / x2) + x8)) + (0.11323745 * ((x19 * 0.94547087) - -1.1641735))) * (-1.3001541 - (x26 + -2.3415363)))) / 1.02403"
27,0.0040132036,"x26 - ((-1.3306549 - (x26 + -2.3110335)) * (((x8 + (-0.871877 / x2)) * 0.16070262) + ((x19 + (((x8 * x26) * x15) - -1.0504014)) * 0.13970372)))"
