Complexity,Loss,Equation
1,0.011668378,"x26"
3,0.01131847,"x26 + 0.018708318"
5,0.009561509,"x26 + (x18 * -0.09648483)"
6,0.009428479,"(sin(x18) * -0.11035431) + x26"
7,0.008994635,"(x26 - (x20 * 0.13366523)) / 0.92093575"
8,0.008768377,"sin((x26 + (0.04548393 / x2)) / 0.92153895)"
9,0.0047240085,"sin(x26 - ((x8 + log(x2)) * 0.36841434))"
11,0.003695879,"sin(x26 - (log(x2 + (x8 + -0.08760813)) * 0.33865038))"
13,0.0025165505,"sin(x26 - ((x17 * 0.12403139) - ((x8 + log(x2)) * -0.3859565)))"
15,0.002043283,"sin((x26 - (x19 * (x2 * 0.14109807))) - ((x8 + log(x2)) * 0.40845266))"
17,0.0014693117,"sin((x26 - ((x17 * 0.5246826) * (x2 + -0.7752418))) - (log(x2 + x8) * 0.53336036))"
19,0.0013729744,"sin((x26 - (((-0.7691047 + x2) * x19) * 0.5298302)) - (log(x2 + x8) * 0.5196803)) / 0.98162407"
