Complexity,Loss,Equation
1,0.014485823,"x26"
3,0.014278795,"x26 + 0.0143814115"
5,0.012707645,"x26 + (x18 * -0.08993321)"
6,0.01186725,"sin((0.049914587 / x2) + x26)"
7,0.008835215,"sin(exp(x2 / -0.20806548) + x26)"
8,0.007903006,"sin(((0.11816134 / x2) + x26) + -0.116633765)"
9,0.0068804757,"sin(x26 + exp((x2 / -0.09039838) + 1.2609446))"
10,0.0068791504,"sin(sqrt(exp((-0.11435847 + x2) / -0.04304418)) + x26)"
11,0.005432815,"sin(exp(x2 / -0.27570847) + ((x8 * -0.3046864) + x26))"
13,0.0042220526,"sin(((x8 * -0.3440018) + exp(x2 * (x2 / -0.19828682))) + x26)"
15,0.004101175,"sin((((x8 * -0.3902827) + x26) / 1.040032) + exp(x2 * (x2 / -0.21877564)))"
17,0.0030275418,"sin(((x19 * -0.09928226) + ((x8 * -0.32966775) + exp((x2 * x2) / -0.2250124))) + x26)"
19,0.0025284118,"sin(exp(x2 * (x2 / -0.39653197)) + (((x19 + 0.50056344) * -0.14765325) + ((x8 * -0.4002941) + x26)))"
21,0.0023302175,"sin((((x19 + 0.35538283) * -0.15663621) + exp(x2 * (x2 / -0.35384676))) + ((x8 * -0.35546046) + x26)) * 1.0359819"
23,0.0022720292,"sin((exp((x2 * (x2 / -0.33918187)) - -0.05838231) + (x26 + (x8 * -0.34367073))) + ((x19 + 0.3307719) * -0.14988531)) * 1.0374737"
24,0.0021931536,"((-0.3122475 * x8) + sin(((exp(x19) * -0.168086) + (exp((x2 * x2) / (x4 - 0.35505974)) * 1.2401718)) + x26)) + 0.10303317"
26,0.0020739208,"((sin((x26 + (exp(x19) * -0.16781628)) + (exp((x2 * x2) / (x4 - 0.35365468)) * 1.2643198)) + 0.10223897) * 1.0247335) + (x8 * -0.31258938)"
28,0.0019537653,"((x8 * -0.33539495) + (sin((((exp(x1) + x19) * -0.16845904) + x26) + (exp((x2 * x2) / (x11 - 0.3436317)) * 1.2280778)) + 0.09959012)) * 1.0310133"
