Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 + 0.015918449"
5,0.007123764,"x26 - (x17 * 0.08680165)"
7,0.006479593,"(x26 * 1.1249582) - (x21 * 0.16589601)"
9,0.005878415,"x26 - (((0.2601557 - x8) * -0.10997409) / x2)"
11,0.0030907,"x26 - ((-0.012312731 / (x2 * x2)) * (1.001133 - x26))"
13,0.0030526666,"(x26 - ((((0.9782267 - x26) / x2) / x2) * -0.012475061)) * 1.0163976"
15,0.0018668053,"x26 - ((((x26 - 1.0029715) * (-0.06425309 / x2)) * (x19 - 0.18372597)) / x2)"
17,0.0011180155,"x26 - (((x26 - 1.0012326) * -0.0743804) * (x8 + (((x19 - 0.16299163) / x2) / x2)))"
19,0.0008410152,"x26 - (((x20 * x26) + (((x19 - 0.08677223) / x2) / x2)) * ((x26 - 0.9996772) * -0.13852683))"
21,0.00075379113,"(x26 * 1.0263267) - (((x26 - 1.0055108) * ((x19 * x26) + ((x19 - (0.07039841 / x2)) / x2))) * -0.17319752)"
23,0.00066661806,"((x26 - (((((x19 - (0.070702784 / x2)) / x2) + (x19 * x26)) * (x26 - 1.0027838)) * -0.17355686)) * 1.0285316) - 0.00976133"
25,0.00054704526,"(x26 - (((x26 - 1.0114964) / x2) * ((((((x20 - -0.34217584) * x20) + x19) - 0.095571674) * -0.12773846) / (x8 + x2)))) * 1.0399361"
