Complexity,Loss,Equation
1,0.017519452,"x26"
3,0.01730742,"x26 - -0.014543727"
5,0.016205972,"x26 - (-0.014608263 / x2)"
7,0.014099667,"x26 - (-0.035439447 / (x2 + x8))"
9,0.010787461,"x26 - ((x26 - 0.9816422) * (0.057502806 / x2))"
11,0.004871944,"x26 - ((x26 - 1.0001824) * ((0.012531983 / x2) / x2))"
13,0.004606285,"x26 - ((0.012531983 / x2) * (((x26 - 1.0001824) / x2) + x15))"
15,0.0039772517,"((x8 * -0.20498307) + (x26 + -0.10690014)) - (((x26 * 0.10012994) - 0.12162995) / x2)"
17,0.002829115,"x26 + (((x8 - ((1.0611277 / x2) - (x20 + x2))) * (1.0627908 - x26)) * -0.100030236)"
19,0.002375494,"(x26 + (x8 * -0.2049202)) - ((((1.0602883 / x2) - (x2 + x20)) * (1.0626371 - x26)) * -0.10013067)"
21,0.0021431344,"(x26 - (((1.0292671 / x2) - (x21 + x2)) * ((x26 - 1.0177006) * 0.108248554))) - (x2 * (x8 * 0.27236062))"
23,0.0020493355,"(x26 - ((x26 - 0.9667288) * (((0.73653734 / x2) - (x2 + x22)) * 0.14882141))) - (((x8 * x2) * 0.29413396) + -0.039794058)"
25,0.0018053029,"x26 - (((((0.9422106 / x2) - (x2 + x23)) * (x26 - 1.0199406)) * 0.11653154) - (x2 * ((x13 * -0.055114597) + (x8 * -0.30100435))))"
27,0.0018050619,"x26 - (((x26 - 1.0204618) * (((0.9463028 / x2) - (x23 + x2)) * 0.11608126)) - ((((x13 * -0.06892475) + (x8 * -0.38060838)) * x2) * 0.79258263))"
29,0.0018050617,"x26 - (((((0.9463028 / x2) - (x23 + x2)) * (x26 - 1.0204618)) * 0.11608126) - (((((x13 * -0.06892475) + (x8 * -0.38060838)) + x10) * 0.79258263) * x2))"
