Complexity,Loss,Equation
1,0.0123014925,"x26"
3,0.012010281,"x26 - -0.017070651"
5,0.01020034,"(x18 * -0.10309591) + x26"
7,0.009808359,"(x22 * -0.18229464) + (x26 * 1.1251513)"
9,0.009054739,"((x2 + x19) * -0.13800623) + (0.13586177 + x26)"
11,0.008135958,"x26 + ((((x2 + x19) + x8) * -0.13585196) + 0.14339674)"
13,0.0077873734,"(x26 - (((x2 + x8) * 0.23295906) - (x22 * -0.13126408))) - -0.24569972"
15,0.004173135,"(((x2 + (x12 * 0.146185)) * 0.70398706) * ((x26 - 1.5099059) - x8)) - -1.1108576"
17,0.0031881556,"(((x2 + (x12 * 0.17982)) * 0.7073201) * ((x26 - 1.4587632) - (x2 * x8))) - -1.0714512"
19,0.0027615984,"((((0.19962782 * x12) + x2) * (0.7206424 * (x26 - 1.3475443))) - (x8 * (-0.32586738 + x2))) - -1.0106287"
21,0.0027615982,"((((x12 * 0.19962782) + x2) * 0.7206424) * (x26 - 1.3475443)) + (((x3 - x8) * (x2 + -0.32586738)) - -1.0106287)"
25,0.0020629657,"(((((x12 * 0.23379765) + x2) * (x26 - 1.52356)) - (x2 * x8)) * 0.6910642) - (-1.0941745 - ((x12 * (x24 * x24)) * 0.24775226))"
27,0.002057135,"((((x26 - 1.5430822) * (x2 + (x12 * 0.23509665))) - (x8 * x2)) * 0.681722) - (-1.1563987 - (((x12 * (x22 * 0.24585684)) * x24) + -0.063502))"
29,0.0020571265,"(((((x2 + (x12 * 0.23494093)) * (x26 - 1.5433967)) - (x8 * x2)) * 0.6817294) - (-1.1565082 - ((x12 * x22) * (x24 * 0.2453123)))) + (x6 + -0.063392654)"
37,0.0018087395,"((((x26 - 1.4598461) * 0.69310886) - (((x2 + ((((x12 * 0.35775095) + x2) * (x2 + -0.41438866)) * (x18 + (x24 - x2)))) - (x18 - 0.4923138)) * x8)) * (x2 + (x12 * 0.21927087))) - -1.0487627"
