Complexity,Loss,Equation
1,0.011795773,"x26"
3,0.0115668,"x26 + 0.015116231"
5,0.009810878,"x26 + (x18 * -0.10064071)"
7,0.009453169,"(x26 - (x22 * 0.16058294)) * 1.1256772"
9,0.008805385,"((x2 - (1.027014 - x19)) / -9.440972) + x26"
11,0.0053954427,"x26 + (0.0075049177 / ((x2 + -0.10507305) / (0.90478915 - x26)))"
17,0.0030987517,"x26 + ((-0.69607484 - (x2 / (x19 - 1.3199463))) / ((x2 * 4.679013) / (x26 - 0.98809326)))"
19,0.0025296113,"((-0.5109914 - (x2 / (x19 - 1.410546))) / ((x2 / (x26 - 0.93747926)) * 3.6174672)) + (x26 + 0.058145054)"
21,0.0024396498,"(x26 + (((-0.48569843 - (x2 / (x19 - 1.3981397))) / ((x2 / (x26 - 0.96127415)) * 3.6185577)) + 0.066374384)) / 1.0272443"
23,0.0023654902,"(((-0.5002044 - (x2 / (x19 - 1.453312))) / ((x2 / (x26 - 0.9448826)) * (3.6134923 - x22))) + (x26 + 0.057350527)) - x5"
25,0.0022184239,"((-0.84540755 - (x2 / (x19 - 1.2493066))) / ((-4.43468 - (-0.41151038 / x2)) - ((x26 / (x26 - 1.0083387)) / (x18 - 1.1841235)))) + x26"
27,0.0021092738,"((-0.8566316 - (x2 / (x19 - 1.2390872))) / ((-4.429806 - (-0.41084647 / x2)) - (x26 / ((x26 - 0.9801555) * (x15 - 1.2390872))))) + (x26 / 0.9801555)"
29,0.0020668202,"(((-0.8566316 - (x2 / (x19 - 1.2390872))) / ((-4.429806 - (-0.41084647 / x2)) - (x26 / ((x26 - 0.9801555) * (x19 - (1.4746981 - 0.3294121)))))) + x26) / 0.9801555"
35,0.0019735664,"((-0.8280191 - (x2 / (x19 - 1.2671473))) / (((x2 - (-0.40257397 / x2)) + -4.4247813) - (((((x13 + x24) * (x24 * 1.6300436)) + x26) / (x26 - 0.9330725)) * -1.1170689))) + (x26 / 0.97522485)"
37,0.0019353826,"((-0.85349125 - (x2 / (x19 - 1.23472))) / ((x2 - (-0.4002176 / x2)) + ((-4.421528 - ((((((x12 + x24) * 2.6719859) * x24) + x26) / (x26 - 0.95112556)) * -1.117587)) - x8))) + (x26 / 0.9800776)"
