Complexity,Loss,Equation
1,0.016342241,"x26"
3,0.016152732,"x26 + 0.013736113"
5,0.01484332,"x26 + (x17 * -0.08297552)"
7,0.013074769,"x26 + (0.00270836 / (x2 + -0.10506032))"
9,0.006850381,"(-0.002245907 / ((x2 + -0.11497756) + x8)) + x26"
11,0.005954224,"(((x26 + -0.9449245) * -0.008939511) / (x2 + -0.10393148)) + x26"
13,0.005584184,"(x26 + -0.11520208) + (((x26 * -0.095907085) + 0.12498852) / (x8 + x2))"
15,0.0044606044,"(((((x26 + -1.0451676) / x2) + (x18 - x26)) * -0.11903664) + x26) + -0.12843603"
17,0.003770993,"((x26 + ((x8 + (((x26 + -1.059553) / x2) + x19)) * -0.10278778)) + -0.102403425) * 1.1384901"
19,0.0031882182,"(x26 + ((((x26 + -1.0144364) / x2) + (((x8 + x18) * x2) - x26)) * -0.12955943)) + -0.13565743"
21,0.00309136,"((((((x26 + -1.0086272) / (x2 - x9)) + (x8 + (x19 * x2))) * -0.11215353) + x26) + -0.111987665) * 1.1539836"
23,0.0026070331,"(x26 * 0.7747987) + ((((x8 * -0.41398004) + (x12 * -0.17011859)) - (x2 + -1.0315754)) * ((x26 * (x2 + -0.888028)) + 1.0412605))"
25,0.002482981,"(((((x2 + -0.80681145) * x26) + 0.8837916) * ((x12 * -0.16866751) + ((x8 * -0.41364616) - (x2 + -1.0309056)))) + (x26 * 0.6524775)) / 0.82625604"
27,0.0020837649,"((((x8 * -0.4713402) + (((x12 * -0.16367279) * x2) - (x2 + -1.0222826))) * ((x26 * (x2 + -0.7232436)) + 0.78221387)) + (x26 * 0.55928814)) / 0.709827"
