Complexity,Loss,Equation
1,0.010844729,"x26"
3,0.010672763,"x26 + 0.013109179"
5,0.009406404,"x26 + (x17 * -0.08445092)"
7,0.0088771125,"(0.028549308 / (x8 + x2)) + x26"
9,0.0050550993,"x26 + (0.0042320024 / ((x2 - 0.10699198) + x8))"
11,0.004796422,"((-0.012900304 / (x2 - 0.09939118)) * (x26 + -0.9814654)) + x26"
13,0.0041216733,"(((0.106451534 / (x2 - (0.106451534 - x8))) - x18) * 0.041907758) + x26"
15,0.0038118104,"((((0.106451534 / (x2 - (0.106451534 - x8))) - x18) - x18) * 0.041907758) + x26"
17,0.0031361291,"x26 + (-0.08091769 * (((x26 + -0.98146033) * ((0.16063626 / (x2 - 0.10099115)) - x8)) + x17))"
19,0.002422197,"x26 + ((-0.9892333 + x26) * ((0.1348415 - ((x8 * -0.18093418) - (-0.13260747 / x2))) + (x22 * 0.11634277)))"
21,0.0022442138,"((-1.0050544 + x26) * (0.12734015 - (((x8 * -0.29645962) - (-0.36415944 / x2)) * ((-0.38870513 * x20) + 0.33971336)))) + x26"
23,0.002220453,"x26 + (((0.14350748 - (((x8 * -0.30147505) - (-0.37867904 / x2)) * (0.33851174 + (x20 * -0.40153202)))) * (x26 + -1.0015392)) - -0.00986396)"
25,0.0019083255,"((x26 + -1.0068353) * (0.034741417 - ((x8 * -0.11544661) - (((x2 + x21) * ((0.0814444 * x19) + 0.08087223)) + (-0.11834563 / x2))))) + x26"
31,0.0016079296,"((x26 + -0.9991046) * ((x0 + 0.049113676) - ((x8 * -0.147286) - ((((x17 * 0.08515828) + 0.07353703) * (((x13 * x26) + x22) - -1.1494029)) + (-0.12961538 / x2))))) + x26"
35,0.0016079294,"(((x26 + -0.9991046) * (0.049113676 - ((x8 * -0.147286) - ((-0.12961538 / x2) + (x0 + (((x13 * x26) + (x22 - -1.1494029)) * ((x17 * 0.08515828) + 0.07353703))))))) + (x26 - x10)) + x11"
37,0.0015832409,"x26 + ((x26 + -1.0002394) * ((x0 + 0.052247006) - ((x8 * -0.14750321) - (((((((x2 + 0.091245644) * x13) + 0.06940223) * x26) + (x22 - -1.1467161)) * ((x17 * 0.08662947) + 0.07198163)) + (-0.13027616 / x2)))))"
