Complexity,Loss,Equation
1,0.017053869,"x26"
3,0.016554287,"x26 * 0.95520705"
5,0.01522924,"x26 + (x20 * -0.09220907)"
7,0.015094711,"x26 + ((x2 * x20) * -0.10386052)"
9,0.012674541,"x26 - (((0.9781674 - x26) * -0.048850115) / x2)"
11,0.008628735,"x26 - ((((x26 - 0.99438214) / x2) * 0.012728845) / x2)"
13,0.007569841,"(x26 - ((((1.2082797 - x26) / x2) - x16) * -0.09396193)) + -0.11978635"
15,0.007097607,"(-0.11236384 + (x26 - ((((1.0874798 - x26) / x2) - x17) * -0.10340184))) / 0.9407938"
19,0.0056780432,"x26 - ((((x26 * ((x26 - x20) * x26)) - ((1.1224464 - x2) - x20)) * 0.10680214) / x2)"
21,0.004530775,"x26 - (((((((x26 - x20) * x26) * x26) - ((1.1612018 - x2) - x20)) / x2) + x8) * 0.10917338)"
23,0.0043157693,"x26 - (((((x26 * (-0.13429703 + ((x26 - x20) * x26))) - ((1.0468484 - x2) - x20)) / x2) + x8) * 0.118621334)"
25,0.004163413,"(x26 - (((((x26 * (x26 * (x26 + (-0.121403456 - x20)))) - ((1.0248616 - x2) - x20)) / x2) + x8) * 0.12124337)) * 1.0321455"
27,0.004040993,"x26 - (((((((x26 + (-0.1327305 - x20)) * x26) * x26) - ((1.0272024 - x2) - x20)) / x2) - ((-1.2762142 + x25) * x8)) * 0.11962916)"
29,0.0038403447,"x26 - ((((((x26 * ((x26 + -0.2864079) - x20)) * x26) - ((0.8770442 - x2) - x20)) / (x2 - (-0.037752736 - x8))) - (0.09964432 - x8)) * 0.18334709)"
33,0.003431516,"(1.0530152 * x26) - (0.24445498 * ((((((x26 - x20) * x26) * x26) - ((1.0051785 - x2) - x20)) / ((x2 - -0.12129766) - ((x26 * -0.099115446) - x8))) - (x8 / -1.7944257)))"
35,0.0032969457,"(1.0530152 * x26) - (((((((-0.09590528 + x26) - x20) * (x26 * x26)) - ((1.0051785 - x2) - x20)) / ((x2 - -0.12129766) - ((x26 * -0.099115446) - x8))) - (x8 / -1.7944257)) * 0.24445498)"
37,0.0032888055,"(x26 * 1.0578631) - ((((((x26 + (-0.08186995 - x20)) * (x26 * x26)) - ((1.0029333 - x2) - x20)) / ((x2 - -0.122601576) - (((x4 + -0.09636191) * x26) - x8))) - (x8 / -1.7912912)) * 0.24707161)"
39,0.0032865193,"(x26 * 1.057763) - (((((((x26 + -0.07280285) - x20) * (x26 * x26)) - ((1.0111088 - x2) - x20)) / ((x2 - -0.124691315) - ((x4 + (x26 * -0.10042465)) - x8))) - (x8 / -1.7871575)) * (x3 + 0.24637997))"
