Complexity,Loss,Equation
1,0.012408555,"x26"
3,0.012275954,"x26 + 0.011515543"
5,0.011195458,"x26 - (x17 * 0.078318566)"
7,0.010920198,"((x21 * -0.12198454) + x26) * 1.0812259"
9,0.009832414,"(((x2 + x19) * -0.13339956) + 0.12930264) + x26"
11,0.007905305,"((((x2 + x8) * -0.4143478) + x26) * 0.82607996) + 0.3636357"
13,0.007860731,"(((x8 * 0.8891301) + x2) * -0.37215665) + ((x26 + 0.48085332) * 0.8138795)"
15,0.0071957847,"((((x8 + x2) * -0.4181315) + x26) * (0.84112406 + (x17 * 0.06438192))) + 0.3636347"
17,0.0026720806,"((((x26 + (x8 * -0.85441494)) + ((x12 * -0.3393161) + -1.5558417)) * x2) - -1.5918994) / 1.4532826"
19,0.0026720783,"((((((x26 + (x8 * -0.85359466)) + (x12 * -0.3391098)) + -1.554829) * x2) - -1.5908957) / 1.5161403) / 0.9581599"
21,0.0021540492,"((((x8 * -0.8364048) + (((x12 * -0.28631368) + x26) + -1.428338)) * x2) - -1.4622291) / (1.3885971 - (x18 * 0.14889768))"
23,0.0019938338,"((((x26 + ((x8 * -0.84503627) + -1.4640174)) + (x12 * -0.30048487)) * x2) - -1.4990786) / (1.4198062 - ((x18 * 0.33363405) * x8))"
25,0.0016436632,"((((-1.5005159 + x26) + (-0.81413525 * x8)) * x2) + (((((x25 / 3.1433177) * (x22 - -0.719512)) - 0.36625284) * x13) - -1.5430068)) / 1.4499626"
27,0.0016265596,"((x2 * ((x8 * -0.81413525) + (x26 + -1.5005159))) + ((((((x22 - -0.5907283) + 0.16607504) * (x25 / 3.1433177)) - 0.36625284) * x12) - -1.5430068)) / 1.4499626"
29,0.0016076675,"(((x2 * ((x8 * -0.86698383) + (x26 + -1.5753901))) + (((((((x22 - -0.5810222) + 0.15636854) * x25) / 3.14197) - 0.37835902) * x12) - -1.3684998)) / 1.4978734) - -0.16822362"
31,0.0015692518,"(((((x8 * -0.85031533) + (x26 + -1.4098148)) * x2) + (((((x25 + 0.8165376) * ((x13 / -0.982018) - x8)) * (x25 * -0.597493)) - x13) * 0.3533679)) - -1.4465016) / 1.4320194"
33,0.0014487145,"((((x2 * (x26 + (((x12 + ((x8 * (x24 + (((x26 * x24) + -1.0185281) / 0.7817841))) * -1.7217737)) * -0.38839576) + -1.5860873))) - -2.148841) / 1.4936914) + -0.3602539) - (x8 * 0.099257275)"
35,0.0014275366,"(((((((((((x24 + ((x26 * x24) / 0.7691912)) * 1.4527291) + -1.0034286) * (x8 * -1.5468863)) + x12) * -0.3808638) + -1.5907613) + x26) * x2) - -2.149654) / 1.480554) + (-0.3591436 - (x8 * 0.28214517))"
