Complexity,Loss,Equation
1,0.46118227,"0.09248749"
3,0.13625933,"0.965673 - x2"
5,0.13266852,"(x2 * -1.116808) + 1.0676738"
7,0.122729495,"0.99383146 - (x2 + (x19 * 0.039447356))"
9,0.10828633,"1.015742 - (x2 + (x19 * (x12 * 0.048287384)))"
11,0.100664884,"(1.1703098 - (x12 * (x19 * 0.05230155))) + (x2 * -1.1722624)"
13,0.099837944,"((x12 * -0.048020877) * (x19 - -0.3776784)) + ((x2 * -1.1649339) - -1.1595223)"
15,0.096637204,"(((-1.0866452 - (x25 * -0.06877265)) * x2) + 1.0944242) - (x12 * (0.055506606 * x19))"
17,0.093289375,"(1.2150062 - (x19 * (x12 * 0.054042883))) + ((-1.2342403 - ((x25 - x15) * -0.040738203)) * x2)"
19,0.08814654,"(1.1422579 - ((x19 * 0.05860823) * x12)) + ((-1.1431206 - ((x25 * -0.13473362) - (x15 * -0.043263756))) * x2)"
21,0.08739585,"(((x2 * -1.1752496) + 1.2032106) - (x12 * (x19 * 0.04563313))) - (x8 * (((x14 * x18) * -0.02856249) - -0.17621925))"
