Complexity,Loss,Equation
1,0.0178645,"x26"
3,0.017525043,"x26 / 1.0391965"
5,0.016354965,"x26 - (x19 * 0.08505013)"
7,0.015464437,"(0.040158127 / (x2 + x8)) + x26"
9,0.013516767,"((x26 + -0.985659) * (-0.047421977 / x2)) + x26"
11,0.008978059,"((-0.097518474 / x2) * (x26 + -1.1746136)) + (x26 + -0.119053654)"
13,0.007594341,"(x26 + ((x8 + ((x26 + -1.1867049) / x2)) * -0.104867145)) + -0.1227912"
15,0.0065065534,"x26 + ((x2 + (((x26 + -1.0304397) / (x2 + x8)) + x16)) * -0.106334046)"
17,0.006151272,"(x26 * 1.056798) + (((x2 + x8) + (x17 + ((x26 + -1.000135) / x2))) * -0.11256367)"
19,0.0059185703,"(((x26 * -0.11159675) + 0.11343427) / x2) + ((x2 * ((x8 + (x16 + x2)) * -0.12231103)) + x26)"
21,0.0050705774,"((x2 * -0.12092264) * ((x2 + x17) + (x8 + x8))) + (x26 + ((x26 + -1.0204958) * (-0.11411786 / x2)))"
23,0.004942796,"(x26 + ((x2 * -0.14117803) * (x2 + ((x17 + x8) + x8)))) + (0.033748362 + ((-0.11108798 / x2) * (x26 + -0.9804238)))"
25,0.004703894,"((x26 + ((x26 + -0.9842909) * (-0.10665529 / (x8 + x2)))) + (((x26 * (x26 * x26)) + (x17 + x2)) * -0.100568384)) * 1.132483"
27,0.0043004616,"(((((x26 + -0.89618754) / x2) * -0.11200787) + x26) + (((x8 + x17) + ((x26 * (x26 * x26)) + 0.88320804)) * (x2 * -0.12192856))) * 1.1441009"
29,0.003603927,"(((x2 * -0.10902113) * ((x17 + (x26 * (x26 * x26))) + (x8 + x2))) + (x26 + ((x8 + ((x26 + -0.9498497) / x2)) * -0.115107015))) * 1.099399"
31,0.0034787797,"(x26 + (((x8 + ((x26 + -0.9116069) / x2)) * -0.11509051) + (x2 * (((x8 + x2) + (((x26 * x26) * (x26 + -0.44352114)) + x17)) * -0.10730874)))) * 1.127646"
33,0.0033351355,"(((((((((x18 + (x2 + (x26 * x26))) * x26) + x8) + x2) + x17) * x2) * -0.1003475) + x26) * 1.2064484) + ((x8 + ((x26 + -0.862666) / x2)) * -0.13925385)"
35,0.0030192838,"(0.05692877 + ((x26 + (((x17 + (x2 + (x26 * ((x2 + x18) + (x26 * x26))))) + x8) * (-0.124441534 * x2))) * 1.256707)) + (-0.13790403 * (x8 + ((x26 + -0.7647555) / x2)))"
37,0.0030083812,"(0.05692877 + ((x26 + (((x17 + x2) + ((x26 * (x2 + (x18 + (x26 * x26)))) + x8)) * (-0.124441534 * x2))) * 1.256707)) + (-0.13790403 * (((x26 + -0.7647555) / x2) + (x8 * 0.9469849)))"
