Complexity,Loss,Equation
1,0.015931858,"x26"
3,0.015706034,"x26 - -0.015019677"
5,0.014266577,"(x17 * -0.08669539) + x26"
7,0.013218633,"(0.032546982 / (x2 + x8)) + x26"
9,0.008451195,"(0.011201661 / ((x2 * x2) + x8)) + x26"
11,0.007803553,"(0.012083035 / (x8 + ((x2 * x2) + x8))) + x26"
13,0.007141247,"x26 + ((0.10273221 - x8) * (0.11793415 / (x8 + (x2 * x2))))"
15,0.00393796,"((x2 * (((x8 + 1.6540451) + (x12 * 0.35882813)) - x26)) * -0.6570127) + 1.114823"
17,0.0038235353,"(((x8 + ((x12 * 0.37943628) - x26)) + 1.5492471) * ((x2 * -0.72672254) + 0.06973165)) + 1.0457935"
19,0.003729372,"((x8 * 0.09345192) + 1.0736821) + ((((x8 + 1.5215951) + (x12 * 0.34765178)) - x26) * (x2 * -0.68805856))"
21,0.0033069712,"((x2 * ((x8 + ((x12 * 0.32722914) - x26)) + ((x23 * (x26 * -0.20668697)) + 1.5348248))) * -0.7040249) + 1.0945113"
23,0.0030986557,"((x2 * (1.51165 + (((x12 * 0.33027145) - x26) + x8))) * -0.68232024) + ((((x8 * x26) * x21) * 0.24162276) + 1.0561862)"
25,0.0023517532,"(((x12 * 0.37278396) + ((x8 + 1.5593474) - x26)) * (((x26 * 0.13724513) * (x8 + (x26 * x8))) + (x2 * -0.6518238))) + 1.0378776"
