Complexity,Loss,Equation
1,0.015839312,"x26"
3,0.015713431,"x26 * 0.9765844"
5,0.013948116,"(x19 * -0.090414785) + x26"
7,0.013476167,"((x19 + x8) * -0.08315135) + x26"
9,0.010641523,"(-0.028989771 / ((0.08262123 - x8) - x2)) + x26"
11,0.007138586,"(-0.012393965 / ((x2 / (x26 + -0.99943095)) * x2)) + x26"
13,0.0067348694,"((0.032276083 / (x8 - (x2 * -0.29417846))) + (x26 * 0.93526304)) + -0.11071561"
15,0.005388707,"(x26 + (-0.012091048 / ((x2 / (x26 + -1.0177383)) * x2))) + (x18 * -0.0882268)"
17,0.0046372404,"((-0.01168027 / ((x2 * x2) / (x26 + -0.9162273))) + ((x22 * -0.16445899) + x26)) * 1.1699868"
19,0.0044683535,"(-0.005921447 / ((x2 * (x2 - 0.064776696)) / (x26 + -0.9087168))) + ((x26 + (x22 * -0.16455364)) * 1.1625473)"
21,0.0038944893,"(-0.015285252 / ((x2 * x2) / ((x26 + (x22 * -0.24723865)) + -0.81416005))) + ((x26 + (x22 * -0.20780966)) * 1.2109338)"
23,0.003651394,"((((-0.012795938 / ((x2 * x2) / ((x26 + -0.84021634) + (x22 * -0.264948)))) + (x22 * -0.2131938)) + -0.014568767) + x26) * 1.2017837"
25,0.0036191083,"(-0.05668408 / ((x2 * (x2 - -0.29393935)) / ((x22 * -0.26459986) + (x26 + -0.83901995)))) + ((x22 * -0.27726802) + ((x26 * 1.2350147) + -0.04130201))"
27,0.0030352033,"(-0.2670608 * x22) + ((-0.14016013 / ((x8 + 0.95488626) * (x2 / (((-0.3861599 - x22) * 0.28268853) + (-0.7696048 + x26))))) + ((x26 + -0.09894752) * 1.269701))"
