Complexity,Loss,Equation
1,0.016811986,"x26"
3,0.016541831,"x26 * 0.96638733"
5,0.015265907,"x26 + (x19 * -0.08403215)"
7,0.0131481085,"(0.0020330464 / (x2 + -0.10770431)) + x26"
9,0.0089145405,"x26 + (0.011101739 / ((x2 + x8) + -0.10026023))"
11,0.0083517665,"((((x26 + -1.178218) / x2) * -0.095183775) + x26) + -0.11571018"
13,0.0068727676,"(x26 + ((((x26 + -1.1870396) / x2) + x8) * -0.103673525)) + -0.11974795"
15,0.0056585665,"x26 + ((x16 + (((x26 + -1.0425643) / (x2 + x8)) + x2)) * -0.10470865)"
17,0.005294791,"((((((x26 + -0.999949) / x2) + x8) + (x2 + x17)) * -0.10585644) + x26) * 1.064984"
19,0.004828761,"(x26 + (((x2 * x17) + (((x26 + -0.96881026) / x2) + (x8 + x2))) * -0.112857275)) * 1.0732317"
21,0.004774957,"(((x2 + ((x8 + x17) * (x2 + 0.13661587))) + ((x26 + -0.9545146) / x2)) * -0.12085002) + (x26 * 1.070907)"
23,0.004774589,"((x26 * 1.0720904) + (((((x8 + x17) * (x2 + 0.13589059)) + x2) + ((x26 + -0.95151806) / x2)) * -0.121143796)) - -0.00095089443"
27,0.0034587055,"(x26 + (-0.41925415 + ((x26 + -0.9944015) * ((3.226744 / (-4.0807314 - x26)) / (((x13 * 0.3027386) + 0.63716847) + ((x8 + 1.2581172) * x2)))))) * 1.7407552"
29,0.0034506607,"(((((3.2290764 / (-4.0682764 - x26)) / (((x13 * 0.29084054) + 0.6429378) + ((x8 + 1.2412864) * x2))) * (x26 + -0.98511684)) + (x26 + -0.41869226)) * 1.7633102) - x5"
31,0.0034506593,"((x26 + -0.41869313) + ((((x26 + -0.9851191) * 3.229075) / (-4.06828 - x26)) / ((x13 * 0.29084256) + ((x2 * ((x8 + 1.2412871) - x11)) + 0.6429357)))) * (x9 + 1.7633075)"
35,0.0034256089,"((x26 + (-0.3911931 + ((3.1466317 / (-4.2943897 - x26)) * ((x26 + -1.0818216) / (((x2 * (((x8 / (1.2190797 - x26)) + 0.6733833) + (x12 * 0.15886106))) * 2.1525905) + 0.6247541))))) * 1.5940095) / 1.0182171"
37,0.003249957,"(((x26 + -0.3970454) + ((((x26 + -1.079637) / (-4.2892957 - x26)) / (((((x8 / (1.226742 - x26)) + ((x13 * 0.15654597) + 0.6595164)) * x2) * 2.1480312) + 0.6169783)) * 3.1515467)) * 1.582253) / (1.0089146 - x10)"
