Complexity,Loss,Equation
1,0.013060641,"x26"
3,0.012922347,"x26 - -0.011757411"
5,0.011502907,"x26 - (x18 * 0.08821527)"
7,0.0060743405,"x26 + (-0.000107240085 / (x2 - 0.112611786))"
9,0.0056823385,"x26 - (-0.0009900145 / ((x2 - 0.111457705) - x8))"
11,0.004541727,"(x26 + (-0.000107240085 / (x2 - 0.112611786))) - (x18 * 0.0931716)"
13,0.00424054,"(-0.000103947736 / (x2 - 0.1126085)) + ((x26 * 1.0274303) - (x19 * 0.093173936))"
15,0.0039014532,"(x26 + (((x26 * -0.0010531938) - -0.0010531938) / (x2 - 0.111446194))) - (x18 * 0.09228994)"
17,0.0036407989,"(x26 + (((-0.0010531938 * x26) - -0.0010531938) / (x2 - 0.111446194))) - ((x19 + x8) * 0.09228994)"
19,0.0035299864,"(((-0.0010531938 * x26) - -0.0010531938) / (x2 - 0.111446194)) + ((x26 - (0.09228994 * (x19 + x8))) / 0.95784134)"
21,0.0034233169,"(x26 - (((x8 + x19) * 0.099291965) - -0.04230085)) + ((((x26 - x8) * 0.033349834) + -0.03277774) / (0.080200486 - x2))"
23,0.0030039172,"(x26 + ((((x26 - (x8 * x17)) * 0.045457657) + -0.049932774) / (0.065266654 - x2))) - (((x8 + x17) * 0.09854219) - -0.058014695)"
25,0.0027946318,"((((x26 - ((x8 + x8) * x17)) * 0.03240551) + -0.03467138) / (0.079164796 - x2)) + (x26 - (((x17 + x8) * 0.1252825) - -0.04522316))"
27,0.0027459252,"(x26 - (((x8 + (x19 + x8)) * 0.099291965) - -0.04230085)) + ((((x26 - (x8 + (x8 * x17))) * 0.033349834) + -0.03277774) / (0.080200486 - x2))"
29,0.0024500634,"(x26 - (((x8 + x17) * 0.1793488) - ((x12 * 0.0611802) + -0.055781934))) + ((((x26 - (x17 * (x8 + x8))) * 0.041538898) + -0.046051655) / (0.06794159 - x2))"
31,0.002308423,"((x26 + ((((x26 * 0.07352428) + -0.07920514) - (x17 * (x8 * 0.09671536))) / (0.035726 - x2))) - (((x8 + x17) * 0.18760578) - ((x14 * 0.06363685) + -0.086561814))) / 0.94751096"
33,0.0022980778,"((x26 - (((x8 + x17) * 0.19776438) - ((x12 * 0.06388143) + -0.11091172))) + (((x26 * 0.10323508) + (-0.110162266 - (x17 * ((x8 * 0.065755695) + 0.023491792)))) / (0.00583825 - x2))) / 0.9193112"
35,0.002151544,"(((((x26 * 0.077457584) + (-0.07831991 - ((x17 * x8) * 0.08029922))) / (0.03500791 - x2)) + x26) - (((x17 + x8) * 0.18896112) - ((x12 * 0.07455628) + -0.08929448))) / ((x23 * -0.056491703) + 0.9218966)"
