Complexity,Loss,Equation
1,0.026508247,"x26"
3,0.026178084,"0.96232045 * x26"
5,0.02361967,"x26 + (0.021204546 / x2)"
7,0.017856698,"(0.0038986264 / (x2 + -0.10750751)) + x26"
9,0.012634701,"x26 + (0.028151598 / ((x8 + x2) + -0.0702766))"
11,0.010721094,"((0.099313706 / ((x8 + x8) + x2)) + -0.10090586) + x26"
13,0.008564147,"((x26 + -0.12790531) / 1.1102895) + (0.107911006 / (x8 + (x8 + x2)))"
15,0.0074226432,"(((x2 + (x20 * 0.2621823)) + (x8 * 0.36589822)) * (x26 + -0.89603496)) + 0.936475"
17,0.0041952645,"(((x26 * 0.701473) + -1.0448235) * ((x12 * 0.16735686) + ((x8 * 0.37293652) + x2))) + 1.0826632"
19,0.0038608564,"(((((x2 * 0.16131987) * x13) + x2) + (x8 * 0.41700083)) * ((x26 * 0.7035927) + -1.0545236)) + 1.0872015"
21,0.0035137855,"(((x8 * 0.4868739) + x2) * ((x26 * 0.69002634) + -0.8376526)) + (1.0764612 - (((x13 * 0.21857102) + 0.21192797) * x2))"
25,0.002570857,"(((x26 * 0.444613) + -0.5784904) * (((((x26 * 0.444613) * x26) - x2) * ((x12 * -0.29129422) + -0.7947742)) + (x8 + x2))) + 1.065909"
27,0.0021690668,"(((x26 * 0.6063397) + -0.81909555) * ((((-0.25469851 * x12) + -0.26228216) * (((x26 * x26) * 0.68913853) - x2)) + ((0.65134627 * x8) + x2))) + 1.051949"
29,0.0020609223,"(((x26 * 0.44311202) + -0.5805287) * (x2 + ((((x12 * ((x8 * 0.30329803) + -0.38433188)) + -0.75963366) * (((x25 * x26) * 0.44611305) - x2)) + x8))) + 1.0346967"
