Complexity,Loss,Equation
1,0.01394401,"x26"
3,0.013876658,"x26 + 0.008205166"
5,0.012840041,"(x17 * -0.07324873) + x26"
7,0.01229716,"x26 - (-0.0023104926 / (x2 * x2))"
9,0.010438449,"x26 - (((x26 + -1.0276088) * 0.041939612) / x2)"
11,0.0048905113,"x26 - ((x26 + -0.99877924) * ((0.012330876 / x2) / x2))"
13,0.004659574,"x26 - ((((x26 + -1.1752366) * (0.012312851 / x2)) + 0.017008755) / x2)"
15,0.0038532254,"((x26 + -0.111955225) - (x8 * 0.19944583)) - (((x26 + -1.2237271) / x2) * 0.09741365)"
17,0.0033784744,"((x26 * 1.1917732) + -0.12580116) + ((x19 * -0.13688698) - ((x26 + -0.9810053) * (0.1264546 / x2)))"
19,0.0026495561,"(x26 + ((x21 * -0.11570699) - ((((x26 + -0.95282954) * 0.11162126) / (x2 + x8)) + 0.10041512))) / 0.84008294"
23,0.002216116,"(x26 + (-0.027357407 - ((((x19 + x8) - (x26 + -0.5690551)) * 0.15736295) * x2))) - ((x26 + -1.0347985) * (0.11460038 / x2))"
25,0.002020578,"(x26 - ((x8 + (x22 - (x26 + -0.8112561))) * (((x23 - x26) + x2) * 0.12791099))) - ((0.10986244 / x2) * (x26 + -1.0275706))"
29,0.002014322,"(x26 - ((((x8 - x26) - -0.81472754) + x22) * (((x23 - x26) + x2) * 0.1274777))) - (((x26 + -1.0201693) * (0.11155055 / x2)) + (x23 * -0.010178657))"
33,0.0020127993,"((x26 - ((((x8 - x26) - -0.8131218) + x22) * (((x23 - x26) + x2) * 0.12796126))) - ((((x26 + -1.0196213) * 0.11155737) / x2) + (x23 * (-0.007664337 - x1)))) - x4"
39,0.002009704,"(x26 - ((((x8 - x26) - -0.8130496) + x22) * (((x23 - x26) + x2) * 0.12776087))) - (((0.11098571 / x2) * (x26 + -1.0275011)) + ((((x9 - -0.17602167) + 0.13765533) - (x22 - x8)) * (x20 * -0.007633776)))"
