Complexity,Loss,Equation
1,0.01688474,"x26"
3,0.016603164,"x26 * 0.9656515"
5,0.015321004,"x26 + (-0.08439249 * x19)"
7,0.015240871,"x26 + (x2 * (x19 * -0.09278089))"
9,0.013638378,"x26 - (((x2 + x19) * 0.13977093) + -0.13550808)"
11,0.011310159,"(((x26 * -2.308424) + (x2 + x8)) / -2.8330193) + 0.37389302"
13,0.011139,"((x26 + (x8 * -0.41448894)) + ((x2 * -0.49584064) + 0.5168205)) / 1.2517309"
15,0.008295368,"(((((x12 + x8) * -0.26856846) + (x26 * 0.7602988)) + -1.0167857) * x2) + 1.0361083"
17,0.0052694934,"(x2 * ((x8 * -0.576198) + ((x26 * 0.67943245) + ((x12 * -0.22568358) + -1.0649775)))) + 1.0926915"
19,0.0050511053,"(x2 * ((((x26 * 0.67782396) + (x8 * -0.6220213)) + -1.0698144) + (x2 * (x12 * -0.2095271)))) + 1.0928856"
21,0.0046536527,"(x2 * ((((((x21 * 0.14440785) + 0.7223743) * x26) + (x12 * -0.20168135)) + (x8 * -0.6334881)) + -1.0462867)) + 1.0665836"
23,0.0044473847,"(x2 * ((x26 * 0.91710806) + (((x2 - 0.8135282) * ((x16 + x26) * -0.6415349)) + -1.0532347))) + ((x8 * -0.55029047) + 1.0739594)"
25,0.0044036787,"(((x2 * ((x26 * 0.9436187) + ((((x2 - 0.80388385) * -0.6457442) * (x16 + x26)) + -1.0436636))) + (x8 * -0.5478169)) + 1.0657063) + x10"
31,0.0041550733,"(((x8 / -0.35168302) + (x24 + 5.412767)) * 0.18724352) + (((x26 * 0.5647859) + ((x15 * -0.24746749) + -0.98608357)) * (x2 + ((x15 * -0.24581504) * ((x24 + 0.5754809) * x25))))"
33,0.0040711034,"(((x26 * 0.57536906) + ((x15 * -0.2401082) + -0.9808042)) * (x2 + (((-0.15777075 * x25) + ((x24 * x26) * -0.2501543)) * x15))) + ((x24 + ((x8 / -0.3501639) + 5.415598)) * 0.18633321)"
35,0.004071066,"((((x26 * 0.5756081) + (x15 * -0.2397104)) + -0.98062855) * (x2 + ((((x25 * -0.1582296) + ((x24 * -0.24987015) * x26)) * x15) + x11))) + ((x24 + ((x8 / -0.35001126) + 5.415644)) * 0.18631355)"
39,0.0037657758,"(((x26 * 0.55313975) + ((x15 * -0.24700098) + -1.0141118)) * (x2 + ((x8 * (x11 + ((x25 * -0.2053802) + (x26 * (x24 * -0.37739226))))) * x15))) + ((x24 + (((x8 / -0.3345284) + 5.412778) - x10)) * 0.19193935)"
