Complexity,Loss,Equation
1,0.054402705,"x24"
3,0.014126625,"x26 + 0.008698156"
5,0.012710714,"(x18 * -0.08684844) + x26"
7,0.011881475,"(0.030029159 / (x8 + x2)) + x26"
9,0.006262683,"x26 + (0.004644116 / ((x8 + -0.10764776) + x2))"
11,0.00581905,"(0.11864991 / (x2 + (x8 / x2))) + (x26 + -0.10816374)"
13,0.0054880185,"x26 - ((-0.11601677 / (x2 + (x8 / (x2 / 2.5247235)))) + 0.10235572)"
15,0.005252214,"x26 + ((0.12088392 / (((x8 / (x2 + x8)) / 0.39581013) + x2)) + -0.11400208)"
17,0.0037291024,"(((x20 * -0.16961642) + x26) * ((-0.13522032 / x2) + 1.2230836)) + ((0.12697 / x2) + -0.13426676)"
19,0.003729102,"((((x20 * -0.16961642) + x26) * ((-0.13522032 / x2) + 1.2230836)) + ((x6 + 0.12697) / x2)) + -0.13426676"
21,0.0030790525,"(((-0.13245493 / x2) + 1.1777974) * ((x20 * -0.14700195) + (x26 + (x8 * -0.11879969)))) + ((0.13012327 / x2) + -0.13034506)"
23,0.0029021539,"((-0.06798374 / (x2 * -0.52021104)) + ((-0.1355423 + (x26 * (-0.013376447 / (x2 * x2)))) + x26)) + ((x8 + x19) * -0.13024883)"
25,0.002848716,"((-0.04170027 / (x2 * -0.3183505)) + (x26 + ((x26 * -0.013428992) / (x2 * x2)))) + (((x19 * -0.119301066) + -0.13279353) - (x8 * 0.16069356))"
27,0.0028472359,"(-0.04170027 / (x2 * -0.3183505)) + (((x26 + (((x19 * -0.119301066) + -0.13279353) + (x26 * (-0.013428992 / (x2 * x2))))) - (0.16069356 * x8)) / 0.9991487)"
29,0.002837047,"((((x26 + (x26 * (-0.013440192 / (x2 * x2)))) + ((x19 * -0.12541503) + -0.13101585)) - (x8 * 0.15204874)) / 0.987207) + (-0.042121932 / (x2 * (-0.3219499 - x10)))"
31,0.002799685,"(x24 * -0.061927367) + ((((x26 / (x2 * x2)) * -0.01401295) + ((x19 - (-0.032538634 - x8)) * -0.122036226)) + (((x26 + ((-0.21767439 / x2) * -0.55727935)) * 1.0759467) + -0.13011639))"
33,0.0027738078,"((x26 + (-0.06537618 / (x2 * -0.53292644))) * 1.0656642) + ((x24 * -0.06063909) + (((x26 / (x2 * x2)) * -0.013888981) + (((x19 - ((-0.027519401 - x8) * 1.238326)) * -0.1130262) + -0.12917097)))"
35,0.0027429396,"((((x26 * -0.010507229) / (x2 * x2)) + ((((x1 - x19) - x8) * 0.12703225) + x26)) * 1.0412046) + ((-0.066973746 / (x2 * ((((x26 * x26) * x26) * -0.12009948) + -0.51060706))) + -0.13394432)"
37,0.002658064,"(((-0.06726592 / ((((x26 * (x26 + -0.7608787)) * (x26 * -0.08246567)) + -0.5177312) * x2)) + ((x26 / (x2 * x2)) * -0.013303896)) + ((x19 - (x1 - x8)) * -0.13878481)) + (-0.13525039 + (x26 * 1.042354))"
39,0.002582103,"(((x19 - (x1 - x8)) * -0.14507803) + ((x26 * 1.0374975) + -0.13493614)) + (((-0.012792657 / (x2 * x2)) * x26) + (-0.09334667 / (((((x26 * ((-0.5764543 - x13) + x26)) * x26) * -0.09901645) + -0.7211128) * x2)))"
