Complexity,Loss,Equation
1,0.016304744,"x26"
3,0.016167415,"x26 / 1.0254639"
5,0.014615076,"x26 + (x19 * -0.08656184)"
7,0.014390898,"(x22 * -0.15480688) + (x26 * 1.1001667)"
9,0.012780199,"x26 + ((x19 + (x2 - 0.96705675)) * -0.14465088)"
11,0.011826335,"x26 + ((x2 - 1.0237515) * (x2 - (1.078784 - x26)))"
13,0.0094011985,"((x2 - 0.91848665) * ((x2 - 1.1072413) * (0.99731606 - x26))) + x26"
15,0.006467307,"x26 + (((x2 - (1.044502 - x18)) * (x2 - 1.1349624)) * (0.9947826 - x26))"
17,0.005593249,"x26 + (((x2 - ((2.0369518 - x18) * 0.47465768)) * (x2 - 1.2370769)) * (1.0130779 - x26))"
19,0.004578652,"x26 + (((1.2115669 - x2) * (0.9931183 - x26)) * ((-0.9980519 - x21) * (x2 - (1.1328006 - x19))))"
21,0.004005362,"x26 + ((1.2770864 - x2) * (((-1.1967977 - x21) * 0.6760495) * ((1.0066036 - x26) * (x2 - (1.1283457 - x19)))))"
23,0.0036227275,"(((((x2 * 1.367244) - (1.4310989 - x19)) * ((-1.1954412 - x21) * (1.0111775 - x26))) * (1.3596184 - x2)) * 0.52564126) + x26"
25,0.0036070857,"((((((x2 * 1.4188553) - (1.4410046 - x19)) * (-1.1764206 - x21)) * 0.5340928) * (1.3552848 - x2)) * (1.0021892 - x26)) + (x26 + 0.00951236)"
27,0.0036055373,"((((-1.1679815 - x21) * ((1.0006821 - x26) * ((((x2 * 1.4407288) - (1.45051 - x19)) * 0.53509265) * (1.3528 - x2)))) + x26) + 0.011433299) + x11"
29,0.0036048896,"((((1.0018127 - x26) * (-1.1697338 - x21)) * ((x2 * 1.441511) - (1.4576879 - x19))) * ((1.3554678 - x2) * 0.5321145)) + (x26 + (x6 + (x11 + 0.010202895)))"
33,0.0035524738,"(((x2 - 1.2777894) * ((x9 - ((1.7046483 - x26) - (x26 + (x8 - 0.4397872)))) * (x2 - (1.114038 - x19)))) * ((-1.380039 - x19) * 0.28209534)) + (x26 - (x8 * 0.08885469))"
35,0.003347768,"((((1.7017931 - x26) - (x8 + (x26 - 0.43693042))) * ((x2 - 1.3193964) * ((-1.3450124 - x19) * (x2 - (1.1875024 - x19))))) * -0.26162678) + (x26 - (((x8 * 0.13038881) - -0.01893845) * x2))"
37,0.0032996817,"((x2 - 1.3434737) * (((-1.4171264 - x19) * ((x9 - ((1.695666 - x26) - (x26 + (x8 - 0.43080404)))) * (x2 - (1.1867603 - x19)))) * 0.24675675)) + (x26 - (x2 * ((x8 * 0.13865757) - -0.023678387)))"
39,0.0032996784,"((((x2 - 1.3434771) * (-1.4171327 - x19)) * (((x6 * -0.86397403) - ((1.6956645 - x26) - ((x26 + x8) - 0.4308024))) * (x2 - (1.1867687 - x19)))) * 0.24675518) + (x26 - (x2 * ((x8 * 0.13865507) - -0.023680996)))"
