Complexity,Loss,Equation
1,0.014871742,"x26"
3,0.014807341,"x26 + 0.008021828"
5,0.0133777065,"x26 + (x18 * -0.08663845)"
7,0.012960441,"((x8 + x18) * -0.079172604) + x26"
9,0.011749698,"(((x19 + x2) * -0.14303322) - -0.13627243) + x26"
11,0.009830773,"(((x26 * 2.1532962) + 1.0487735) - (x2 + x8)) / 2.6232708"
13,0.009795285,"(x8 * -0.35329497) - (-0.39344853 - ((x26 - (0.45893928 * x2)) / 1.2161362))"
15,0.006392641,"((x26 + 1.2561909) - ((x8 - ((x21 - x17) + -1.262115)) * x2)) / 1.9189531"
17,0.005684082,"((x2 + 0.21230315) * (((x26 - (x8 - -2.187494)) + (x21 - x17)) / 2.2924626)) + 1.1809952"
19,0.0040061567,"(x26 - ((x8 + (x2 + -1.2307341)) - ((x26 - (x15 + 0.64815825)) * (x2 + -0.6963857)))) / 1.7062317"
21,0.004006156,"((x26 - ((x8 + (-1.2307342 - ((x2 + -0.6963854) * (x26 - (x15 + 0.64815766))))) + x2)) / 1.7062318) - x11"
23,0.0037951842,"((x26 - ((x8 + x2) + (-1.268346 - (((x26 - (x13 + 0.7590597)) * 0.8615618) * (x2 + -0.66886127))))) - 0.015594025) / 1.7378415"
25,0.0037795624,"(((x26 - ((x8 + x2) + (-1.6154984 - (((x26 - (x13 + 0.73507184)) * 0.8887762) * (x2 + -0.6827145))))) - -0.5000895) / 1.7255269) + -0.50579524"
27,0.0036445872,"(x23 * 0.04308768) + (((x26 - (((x2 + x8) + -0.9571004) - (((x2 * 0.894007) + -0.5894695) * (x26 - (x13 + 0.7726704))))) - -0.31398377) / 1.818855)"
29,0.003636746,"((x23 * 0.048875395) + (((x26 - (x2 + (x8 + (-1.3376145 - ((x26 - (x13 + 0.7437217)) * ((x2 * 0.8835165) + -0.57816523)))))) - -0.6944955) / 1.8183995)) + -0.42227113"
31,0.0032207447,"((((x26 - ((x8 + (x2 + 0.09042655)) - ((x26 - (x12 + 0.59975797)) * ((x2 * 0.89573103) + -0.65911406)))) - -1.0412102) / 1.6333618) + (x24 * (x20 * 0.11046728))) + 0.12765284"
35,0.0029059087,"(((x26 - (((x8 + x2) + -1.3388535) - (((x2 * 0.78795415) + -0.4801895) * (x26 - (x13 + 0.63792694))))) - 0.12517267) / 1.7785225) + (x8 * (x24 * (((x24 * x8) * 0.30047643) + 0.15676686)))"
39,0.0028975245,"(((x26 - ((x8 + x2) + (-1.3427974 - (((x2 * 0.7931679) + -0.49071074) * (x26 - (x13 + 0.65393335)))))) - 0.12122794) / 1.7598077) + (((x8 + x3) * x24) * ((((x26 * x8) * x8) * 0.4117501) + 0.14956653))"
