Complexity,Loss,Equation
1,0.12917043,"x21"
3,0.00834703,"x26 + 0.015921993"
5,0.007123764,"(x17 * -0.08680166) + x26"
7,0.0064795935,"(x21 * -0.16577993) + (x26 / 0.8890039)"
9,0.005866987,"(x26 - 0.04062263) - (-0.048490852 / (x2 + x8))"
11,0.0028119402,"(x26 - 0.08336201) + (0.10098082 / ((x8 / x2) + x2))"
13,0.0020226617,"(x26 - 0.092900604) - (-0.09013045 / ((x19 + x2) + (x8 / x2)))"
15,0.0016917358,"((x26 - 0.09561137) - (-0.09065165 / ((x19 + (x8 / x2)) + x2))) * 1.0406505"
17,0.0014348573,"(x26 - 0.11336714) - (-0.12043905 / ((x18 + (x13 * -0.37928712)) + (x2 + (x8 / x2))))"
19,0.0012169342,"((x26 - 0.11582545) - (-0.11931571 / ((x12 * -0.3465988) + ((x8 / x2) + (x18 + x2))))) / 0.97067153"
21,0.0012169337,"(x4 + ((x26 - 0.115825444) - (-0.119315766 / ((x12 * -0.3465988) + ((x8 / x2) + (x18 + x2)))))) / 0.9706716"
