Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 - -0.015918866"
5,0.0071237646,"x26 - (x17 * 0.08680136)"
7,0.0064795944,"(x26 * 1.124943) + (x21 * -0.16585527)"
9,0.0032821735,"(0.0053868117 / ((x8 + x2) + -0.105581075)) + x26"
11,0.0029763381,"x26 + (0.011240292 / ((-0.09867845 + (x8 / 0.28439176)) + x2))"
13,0.0019827166,"(x26 + (0.006051112 / ((x2 + -0.10493992) + x8))) - (x17 * 0.08660243)"
15,0.0016333048,"(x17 * -0.11713108) + (x26 + ((1.0443667 - x26) * ((0.11669922 / x2) - 0.12168436)))"
17,0.0011616377,"(x26 + (((x20 + (((0.96931183 - x26) * -0.7416414) / x2)) * -0.13670446) - 0.0964529)) * 1.2306588"
19,0.001083907,"((((0.9676794 - x26) / ((x2 * -1.652382) - -0.047308236)) + x20) * -0.15411387) + ((x26 - 0.075966) * 1.193005)"
21,0.0005502429,"1.1409765 * ((x26 - 0.101291075) + (((-0.91695446 + (x19 * (x23 - -1.2303993))) * (-0.11822848 * (1.007822 - x26))) / x2))"
25,0.00051332253,"((x26 + (((1.0037311 - x26) / x2) * ((-0.9390224 + (((x23 - -1.219022) * x19) + (x8 * 0.153369))) * -0.115087464))) - 0.09828514) * 1.1335398"
27,0.0005133225,"((x26 + (((1.0037311 - x26) / x2) * (((((x23 - -1.219022) * x19) + -0.9390224) + (x8 * 0.153369)) * -0.115087464))) - 0.09828514) * (x7 + 1.1335398)"
29,0.00050043885,"(((x26 - 0.096233465) + ((x8 * -0.029966118) + (((x19 * (x23 - -1.2299228)) + -0.91172993) * (((x3 + (1.0044785 - x26)) * -0.11643837) / x2)))) * 1.1335478) - x3"
