Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347032,"x26 + 0.015909368"
5,0.007123763,"x26 + (x17 * -0.08679301)"
7,0.0061080065,"x26 - ((x25 - x26) * x2)"
9,0.0059741675,"(((x2 + x18) * -0.13513392) - -0.13389601) + x26"
11,0.0030907,"x26 + ((((x26 + -1.0011647) * -0.012312185) / x2) / x2)"
13,0.0028764433,"x26 + ((-0.012325938 / x2) * (((x26 + -1.0181731) / x2) + x8))"
15,0.0013455963,"(x26 * 1.1811385) + ((x18 + (((x26 + -0.979431) / x2) + 0.96642697)) * -0.1263669)"
17,0.0009744976,"(x21 * -0.16854797) + (((-0.013436324 / x2) * ((x26 + -0.91814613) / x2)) + (x26 * 1.1512897))"
19,0.0007261667,"((x26 + (((-0.10916742 / (x2 + x8)) * (x26 + -0.9537915)) + (x20 * -0.11899808))) * 1.1879625) + -0.112048656"
23,0.0006178246,"(((x20 * (x8 + x2)) * -0.10911108) + ((((x26 + -0.953734) * (-0.10911108 / (x8 + x2))) + x26) * 1.1879619)) + -0.111990914"
25,0.00061234174,"((((((x26 + -0.9420259) / x2) - (x16 + x20)) * (0.1615086 / x2)) + (x8 + ((x20 + x20) - x26))) * -0.08351371) + x26"
27,0.000540682,"(x26 + -0.009755678) + ((((x20 + (((((x26 + -0.9702628) / x2) - (x13 + x20)) * (0.16275255 / x2)) - x26)) + x8) + x20) * -0.083551414)"
29,0.00046713767,"x26 + (((((((((x26 + -0.955538) / x2) - ((x19 + x13) * 1.6423243)) * (0.13982432 / x2)) - x26) + x20) + (x8 + x20)) * -0.09936897) + -0.010169875)"
33,0.00038974037,"((((((((((x26 + -0.9209996) / x2) - (x19 + x19)) * 0.15922569) / x2) - x26) - x16) + (x19 + ((x19 + x20) + x8))) * -0.08922372) + (x26 / 0.97623163)) + -0.009187651"
35,0.00037149093,"((x26 / 0.9790084) + -0.009552079) + ((((((x19 + ((((x26 + -0.91470784) / x2) - ((x19 + x19) / 0.8681481)) * (0.15210247 / x2))) - x26) + (x19 - x16)) + x20) + x8) * -0.09351246)"
