Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347032,"x26 - -0.015883693"
5,0.007123764,"(x17 * -0.08680166) + x26"
7,0.006479593,"(x26 * 1.1249924) + (x21 * -0.16590174)"
9,0.00327149,"(0.0054231617 / ((x2 + x8) - 0.105771385)) + x26"
11,0.0030906997,"((((1.0011623 - x26) / x2) / x2) * 0.01231222) + x26"
13,0.001969638,"x26 + ((0.004844209 / ((x2 + x8) - 0.106007144)) + (x18 * -0.0774692))"
15,0.0016405606,"((0.0054231617 / ((x2 + x8) - 0.105771385)) - ((x8 + x18) * 0.06376625)) + x26"
17,0.0006960172,"((x22 * -0.23983902) + (((0.81669956 - x26) / (x2 - 0.10586354)) * 0.008151265)) - (-1.2308326 * x26)"
19,0.00065335276,"((x22 * -0.23983902) + ((((0.81669956 - x26) / (x2 - 0.10586354)) + x13) * 0.008151265)) - (-1.2308326 * x26)"
21,0.0005356884,"(((0.040059224 / x2) - 0.32904732) * x22) + (((((0.8076099 - x26) / x2) * 0.15269582) - (x26 * -1.3801525)) - 0.1228993)"
23,0.0004932113,"(((0.81669956 - x26) * (0.008151265 / (x2 - 0.10586354))) + ((((0.008151265 / x2) - 0.24163088) * x22) - (-1.2050704 * x26))) - 0.008151265"
27,0.00048201386,"(((x22 * ((0.027131883 * ((x26 - x2) - x15)) - 0.21784589)) - 0.008151265) + (((x26 - 0.81669956) * -0.008244358) / (x2 - 0.10586354))) - (x26 * -1.2308326)"
29,0.0004778595,"((x22 * ((0.027131883 * ((x26 - x2) - (x16 - -0.19726335))) - 0.21784589)) - 0.008151265) + (((x26 - 0.81669956) * (-0.008244358 / (x2 - 0.10586354))) - (x26 * -1.2308326))"
31,0.0004456571,"(((0.81669956 - x26) * (0.008151265 / (x2 - 0.10586354))) - (x26 * -1.2308326)) + ((((((((x26 - x2) - x12) - x2) - x17) * 0.026445143) - 0.21784589) * x22) - 0.008151265)"
33,0.00040780124,"((((0.81669956 - x26) * (0.008151265 / (x2 - 0.10586354))) - (x26 * -1.2308326)) + ((((x8 + ((((x26 - x2) - x12) - x2) - x17)) * 0.026445143) - 0.21784589) * x22)) - 0.008151265"
35,0.00040735712,"(((0.81669956 - x26) * (0.008151265 / (x2 - 0.10586354))) - (x26 * -1.2308326)) + ((((2.4653702 * (((x8 + (((x26 - x2) - x12) - x2)) - x17) * 0.010798756)) - 0.21784589) * x22) - 0.008151265)"
37,0.00037391615,"((((0.81669956 - x26) * (0.008151265 / (x2 - 0.10586354))) - (x26 * -1.2308326)) + (((((x8 + (((x26 - x2) - x12) - x2)) - x17) * ((x20 + 3.0360746) * 0.010798756)) - 0.21784589) * x22)) - 0.008151265"
