Complexity,Loss,Equation
1,0.0281571,"x26"
3,0.027353505,"x26 + 0.028356416"
5,0.02242269,"x26 - (-0.02734273 / x2)"
7,0.02029139,"(x26 - (-0.037342068 / x2)) / 1.1042659"
9,0.0180227,"((x26 - 0.077766515) / 1.1589783) - (-0.05204217 / x2)"
11,0.01558901,"((x26 - (0.4158011 * x8)) / 1.1598843) - (-0.05212886 / x2)"
13,0.0123592885,"(-0.5054186 / ((2.0480072 - ((-6.081489 / x2) + 57.88337)) + 0.97521436)) + x26"
15,0.01146046,"(-0.5054186 / (((2.0480072 - ((-6.081489 / x2) + 57.88337)) + x2) + 0.97521436)) + x26"
17,0.010838332,"(-0.5054186 / (((2.0480072 - ((-6.081489 / x2) + 57.88337)) + (x2 * 2.0480072)) + 0.97521436)) + x26"
19,0.010406639,"(-0.5054186 / ((2.0480072 - ((-6.081489 / x2) + 57.88337)) + ((x2 * 2.0480072) + 0.97521436))) + (x26 / 1.1009358)"
